Area,Category,ID,Position,Qty,Amount,Tax,Total Amount
Building,500 maintenance subcontracts equipment,503,Mitsubishi elevator,4,"$3,648.38","$2,334.96","$16,928.48"
Building,500 maintenance subcontracts equipment,504,2 HP pump maintenance,0,$ -,,$ -
Building,500 maintenance subcontracts equipment,505,5 HP pump maintenance,0,$ -,$ -,$ -
Building,500 maintenance subcontracts equipment,506,Pumps 15 HP Maintenance,2,$583.00,$186.56,"$1,352.56"
Building,500 maintenance subcontracts equipment,507,MAINTENANCE AND/OR RENTAL GYM,1,$ -,$ -,$ -
Building,500 maintenance subcontracts equipment,508,Steam maintenance,1,$ -,$ -,$ -
Building,500 maintenance subcontracts equipment,509,SAUNA MAINTENANCE,1,$ -,$ -,$ -
Building,500 maintenance subcontracts equipment,510,Source maintenance and water mirror,,$ -,$ -,$ -
Building,500 maintenance subcontracts equipment,511,Boilers maintenance,,$ -,$ -,$ -
Building,500 maintenance subcontracts equipment,512,CCTV maintenance,1,$400.00,$64.00,$464.00
Building,500 maintenance subcontracts equipment,513,ACCESS CONTROL MAINTENANCE,0,$ -,$ -,$ -
Building,500 maintenance subcontracts equipment,514,Vertical garbage,1,"$16,100.00","$2,576.00","$1,556.33"
Building,500 maintenance subcontracts equipment,515,Refill extinguishers,0,$202.86,$ -,$ -
Building,500 maintenance subcontracts equipment,516,Hydrant maintenance,1,$400.00,$ -,$400.00
Building,500 maintenance subcontracts equipment,517,Hydropneumatic maintenance,1,$800.00,,$800.00
Building,500 maintenance subcontracts equipment,518,Boilers maintenance,0,$ -,,$ -
Building,500 maintenance subcontracts equipment,519,VS FIRE SYSTEM MAINTENANCE,1,$700.00,$ -,$700.00
Building,500 maintenance subcontracts equipment,520,Air Injection and Extraction Maintenance,1,,$ -,$ -
Building,500 maintenance subcontracts equipment,522,Treatment Plant Maintenance,1,$ -,$ -,$ -
Common area,500 maintenance subcontracts equipment,501,Emergency plant,1,$666.67,$106.67,$773.33
Common area,500 maintenance subcontracts equipment,502,DILE load,1,$300.00,$48.00,$348.00
Common area,500 maintenance subcontracts equipment,503,Elevator,0,$ -,$ -,$ -
Common area,500 maintenance subcontracts equipment,504,2 HP pump maintenance,2,$333.00,$53.28,$772.56
Common area,500 maintenance subcontracts equipment,505,5 HP pump maintenance,1,$416.00,$66.56,$482.56
Common area,500 maintenance subcontracts equipment,506,Pumps 15 HP Maintenance,0,$ -,$ -,$ -
Common area,500 maintenance subcontracts equipment,507,MAINTENANCE AND/OR RENTAL GYM,1,"$80,000.00","$12,800.00","$30,000.00"
Common area,500 maintenance subcontracts equipment,508,Steam maintenance,1,$ -,$ -,$ -
Common area,500 maintenance subcontracts equipment,509,SAUNA MAINTENANCE,1,$ -,$ -,$ -
Common area,500 maintenance subcontracts equipment,510,Source maintenance and water mirror,1,$500.00,$80.00,$ -
Common area,500 maintenance subcontracts equipment,511,Boilers maintenance,1,$800.00,$128.00,$ -
Common area,500 maintenance subcontracts equipment,512,CCTV maintenance,1,"$1,600.00",$256.00,"$1,856.00"
Common area,500 maintenance subcontracts equipment,513,ACCESS CONTROL MAINTENANCE,1,"$24,342.00","$3,894.72","$2,353.06"
Common area,500 maintenance subcontracts equipment,514,Vertical garbage,1,$ -,$ -,$ -
Common area,500 maintenance subcontracts equipment,515,Refill extinguishers,49,$34.00,$5.44,$960.87
Common area,500 maintenance subcontracts equipment,516,Hydrant maintenance,1,$500.00,$80.00,$580.00
Common area,500 maintenance subcontracts equipment,517,Hydropneumatic maintenance,2,$800.00,$128.00,"$1,856.00"
Common area,500 maintenance subcontracts equipment,518,Boilers maintenance,0,$500.00,$80.00,$ -
Common area,500 maintenance subcontracts equipment,519,VS FIRE SYSTEM MAINTENANCE,1,"$1,000.00",$160.00,"$1,160.00"
Common area,500 maintenance subcontracts equipment,520,Air Injection and Extraction Maintenance,1,"$20,249.53","$3,239.92","$23,489.45"
Common area,500 maintenance subcontracts equipment,522,Treatamineto Plant Maintenance,1,"$9,800.00","$1,568.00","$11,368.00"
Building,600 administration and consumption expenses,601,Telephone service,1,$399.00,$ -,$399.00
Building,600 administration and consumption expenses,602,Telephone service,0,$249.50,,$ -
Building,600 administration and consumption expenses,603,Satellite TV,,$ -,$ -,$ -
Building,600 administration and consumption expenses,604,Stationery,,$250.00,$ -,$250.00
Building,600 administration and consumption expenses,605,Protocolization Act Assembly,0,$500.00,$80.00,$580.00
Building,600 administration and consumption expenses,606,Electricity,1,"$30,000.00","$4,800.00","$34,800.00"
Building,600 administration and consumption expenses,607,SACMEX,1,"$5,000.00",$800.00,"$5,800.00"
Building,600 administration and consumption expenses,608,Natural Gas Area Community,1,$ -,$ -,$ -
Building,600 administration and consumption expenses,609,Electric material,1,"$2,100.00",$336.00,"$2,436.00"
Building,600 administration and consumption expenses,610,Painting material,1,"$1,200.00",$192.00,"$1,392.00"
Building,600 administration and consumption expenses,611,Plumbing material,1,"$1,000.00",$160.00,"$1,160.00"
Building,600 administration and consumption expenses,612,Carpentry material,1,$25.00,$4.00,$29.00
Common area,600 administration and consumption expenses,601,Telephone service,1,$399.00,$ -,$399.00
Common area,600 administration and consumption expenses,602,Telephone service,1,$249.50,,$249.50
Common area,600 administration and consumption expenses,603,Satellite TV,1,$768.10,$122.90,$891.00
Common area,600 administration and consumption expenses,604,Stationery,1,$500.00,$ -,$500.00
Common area,600 administration and consumption expenses,605,Protocolization Act Assembly,0,$ -,$ -,$ -
Common area,600 administration and consumption expenses,606,Electricity,1,"$30,000.00","$4,800.00","$34,800.00"
Common area,600 administration and consumption expenses,607,SACMEX,1,"$8,000.00","$1,280.00","$9,280.00"
Common area,600 administration and consumption expenses,608,Natural Gas Area Community,1,$ -,$ -,$ -
Common area,600 administration and consumption expenses,609,Electric material,1,"$2,000.00",$320.00,"$2,320.00"
Common area,600 administration and consumption expenses,610,Painting material,1,"$1,000.00",$160.00,"$1,160.00"
Common area,600 administration and consumption expenses,611,Plumbing material,1,$500.00,$80.00,$580.00
Common area,600 administration and consumption expenses,612,Carpentry material,1,$250.00,$40.00,$290.00
Common area,600 administration and consumption expenses,613,Electromechanical material,1,$500.00,$80.00,$580.00
Common area,600 administration and consumption expenses,614,Minor tool,1,$300.00,$48.00,$348.00
Common area,600 administration and consumption expenses,615,Civil Protection Program,1,$ -,$ -,$ -
Common area,600 administration and consumption expenses,616,Swimming pool chemicals,1,"$4,000.00",$640.00,"$7,000.00"
Common area,600 administration and consumption expenses,617,Consumable bathrooms,1,"$1,000.00",$160.00,"$1,160.00"
Building,700 insurance and bonds,701,Insurance,1,$ -,,"$30,000.00"
Building,800 administrative expenses,801,Management and Accounting Fees,40,"$46,815.30","$7,490.45",
Building,800 administrative expenses,804,Banking expenses and commissions,1,"$5,000.00",$800.00,"$5,800.00"
Common area,800 administrative expenses,801,Management and Accounting Fees,40,$145.00,$23.20,"$6,728.00"
