Day of the week,Date,Cash,Debit,Visa Card,Mastercard Card,Maestro Card,American Express Card,Cabal Card,PEDIDOS YA - food app (online payments),Transfer, TOTAL BILLING
Tuesday,21/9/2021, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Wednesday,22/9/2021," $  41.340,00 "," $  27.250,00 "," $  7.000,00 ", $  -   ," $  1.700,00 ", $  -   , $  -   ," $  11.575,00 "," $  2.450,00 "," $  91.315,00 "
Thursday,23/9/2021," $  37.235,00 "," $  7.516,66 "," $  6.750,00 ", $  -   ," $  9.808,34 ", $  -   ," $  12.400,00 "," $  5.925,00 ", $  -   ," $  79.635,00 "
Friday,24/9/2021," $  81.220,00 "," $  29.850,00 ", $  -   , $  -   , $  -   , $  -   ," $  1.100,00 "," $  5.400,00 "," $  8.950,00 "," $  126.520,00 "
Saturday,25/9/2021," $  51.525,00 "," $  46.600,00 "," $  15.500,00 ", $  -   ," $  8.850,00 ", $  -   , $  -   ," $  6.250,00 ", $  -   ," $  128.725,00 "
Sunday,26/9/2021," $  32.100,00 ", $  -   ," $  8.100,00 ", $  -   ," $  2.000,00 "," $  3.350,00 "," $  1.350,00 "," $  750,00 "," $  900,00 "," $  48.550,00 "
Monday,27/9/2021," $  20.935,00 "," $  27.250,00 "," $  8.750,00 "," $  3.600,00 "," $  4.200,00 ", $  -   , $  -   ," $  2.400,00 "," $  2.000,00 "," $  69.135,00 "
Tuesday,28/9/2021, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Wednesday,29/9/2021," $  15.125,00 "," $  14.275,00 "," $  11.200,00 ", $  -   , $  -   , $  -   , $  -   ," $  9.125,00 "," $  2.275,00 "," $  52.000,00 "
Thursday,30/9/2021," $  39.531,00 "," $  14.204,00 ", $  -   ," $  2.000,00 ", $  -   , $  -   ," $  1.800,00 "," $  7.400,00 ", $  -   ," $  64.935,00 "
Friday,1/10/2021," $  12.799,00 "," $  23.808,00 ", $  -   , $  -   , $  -   , $  -   ," $  1.800,00 "," $  4.000,00 "," $  6.000,00 "," $  48.407,00 "
Saturday,2/10/2021," $  50.845,00 "," $  10.064,00 "," $  1.713,00 "," $  1.950,00 ", $  -   , $  -   ," $  1.800,00 "," $  3.300,00 ", $  -   ," $  69.672,00 "
Sunday,3/10/2021," $  16.969,00 "," $  17.256,00 "," $  7.221,00 "," $  9.150,00 ", $  -   , $  -   , $  -   ," $  975,00 "," $  1.500,00 "," $  53.071,00 "
Monday,4/10/2021," $  27.541,00 "," $  20.886,00 "," $  5.882,00 "," $  1.900,00 ", $  -   , $  -   ," $  1.800,00 "," $  10.150,00 "," $  6.000,00 "," $  74.159,00 "
Tuesday,5/10/2021, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Wednesday,6/10/2021," $  17.018,00 "," $  9.089,00 ", $  -   ," $  712,50 ", $  -   , $  -   ," $  1.800,00 "," $  2.200,00 ", $  -   ," $  30.819,50 "
Thursday,7/10/2021," $  28.542,00 "," $  45.338,00 "," $  5.109,00 ", $  -   , $  -   , $  -   , $  -   ," $  2.775,00 ", $  -   ," $  81.764,00 "
Friday,8/10/2021," $  23.756,00 "," $  26.068,00 "," $  10.101,00 ", $  -   , $  -   ," $  3.300,00 "," $  1.800,00 "," $  5.000,00 "," $  3.897,00 "," $  73.922,00 "
Saturday,9/10/2021," $  18.167,00 "," $  22.173,00 ",," $  9.150,00 ", $  -   , $  -   , $  -   ," $  2.200,00 "," $  6.000,00 "," $  57.690,00 "
Sunday,7/10/2021," $  43.590,00 "," $  17.220,00 "," $  7.342,00 "," $  1.950,00 ", $  -   , $  -   ," $  1.800,00 "," $  3.750,00 "," $  1.950,00 "," $  77.602,00 "
Monday,11/10/2021," $  10.957,00 "," $  44.793,00 "," $  5.219,00 ", $  -   , $  -   , $  -   ," $  1.800,00 "," $  4.050,00 ", $  -   ," $  66.819,00 "
Tuesday,12/10/2021, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Wednesday,13/10/2021," $  46.450,00 "," $  23.813,00 "," $  11.522,00 "," $  1.150,00 ", $  -   , $  -   ," $  1.800,00 "," $  3.650,00 ", $  -   ," $  88.385,00 "
Thursday,14/10/2021," $  27.734,00 "," $  6.578,00 ",, $  -   , $  -   , $  -   , $  -   ," $  11.575,00 "," $  1.500,00 "," $  47.387,00 "
Friday,15/10/2021," $  15.982,00 "," $  15.418,00 "," $  6.004,00 "," $  1.950,00 ", $  -   ," $  3.897,00 ", $  -   ," $  5.925,00 ", $  -   ," $  49.176,00 "
Saturday,16/10/2021," $  38.992,00 "," $  35.743,00 "," $  10.195,00 ", $  -   , $  -   , $  -   , $  -   ," $  5.400,00 "," $  3.850,00 "," $  94.180,00 "
Sunday,17/10/2021," $  5.160,00 "," $  8.658,00 ",," $  1.650,00 ", $  -   , $  -   ," $  1.320,00 "," $  6.250,00 ", $  -   ," $  23.038,00 "
Monday,18/10/2021," $  3.210,00 "," $  9.911,00 "," $  8.742,00 "," $  1.200,00 ", $  -   ," $  6.004,00 "," $  1.800,00 "," $  750,00 "," $  365,00 "," $  31.982,00 "
Tuesday,19/10/2021, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Wednesday,20/10/2021," $  40.727,00 "," $  7.423,00 "," $  1.533,00 "," $  1.950,00 ", $  -   , $  -   , $  -   ," $  6.400,00 "," $  1.520,00 "," $  59.553,00 "
Thursday,21/10/2021," $  8.988,00 "," $  27.350,00 ",," $  850,00 ", $  -   , $  -   ," $  265,00 "," $  9.125,00 "," $  3.000,00 "," $  49.578,00 "
Friday,22/10/2021," $  23.696,00 "," $  17.615,00 "," $  1.336,00 ", $  -   , $  -   , $  -   , $  -   ," $  7.400,00 ", $  -   ," $  50.047,00 "
Saturday,23/10/2021," $  42.113,00 "," $  35.029,00 "," $  10.810,00 "," $  1.400,00 ", $  -   , $  -   , $  -   ," $  4.000,00 ", $  -   ," $  93.352,00 "
Sunday,24/10/2021," $  19.663,00 "," $  17.645,00 "," $  3.897,00 ", $  -   , $  -   , $  -   , $  -   ," $  3.300,00 ", $  -   ," $  44.505,00 "
Monday,25/10/2021," $  13.990,00 "," $  5.554,00 "," $  6.263,00 "," $  1.950,00 ", $  -   , $  -   ," $  1.800,00 "," $  975,00 "," $  2.550,00 "," $  33.082,00 "
Tuesday,26/10/2021, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Wednesday,27/10/2021," $  41.216,00 "," $  43.033,00 "," $  4.775,00 "," $  1.950,00 ", $  -   , $  -   , $  -   ," $  7.150,00 ", $  -   ," $  98.124,00 "
Thursday,28/10/2021," $  30.169,00 "," $  13.508,00 ",, $  -   , $  -   , $  -   ," $  500,00 "," $  2.200,00 "," $  6.000,00 "," $  52.377,00 "
Friday,29/10/2021," $  27.327,00 "," $  7.326,00 "," $  5.562,00 "," $  712,50 ", $  -   , $  -   , $  -   ," $  2.775,00 "," $  1.500,00 "," $  45.202,50 "
Saturday,30/10/2021," $  17.963,00 "," $  31.962,00 "," $  10.754,00 "," $  1.950,00 ", $  -   ," $  4.050,00 "," $  2.350,00 "," $  5.000,00 ", $  -   ," $  74.029,00 "
Sunday,31/10/2021," $  19.663,00 "," $  25.963,00 "," $  11.715,00 ", $  -   , $  -   , $  -   ," $  1.800,00 "," $  2.200,00 "," $  6.000,00 "," $  67.341,00 "
Monday,1/11/2021," $  10.400,00 "," $  4.050,00 "," $  10.200,00 "," $  2.600,00 "," $  6.950,00 ", $  -   , $  -   ," $  3.750,00 ", $  -   ," $  37.950,00 "
Tuesday,2/11/2021, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Wednesday,3/11/2021," $  23.669,00 "," $  5.125,00 "," $  11.200,00 "," $  8.425,00 ", $  -   , $  -   , $  -   ," $  2.700,00 "," $  4.600,00 "," $  55.719,00 "
Thursday,4/11/2021," $  31.725,00 "," $  17.675,00 "," $  10.510,00 "," $  12.050,00 "," $  3.650,00 ", $  -   , $  -   ," $  3.650,00 "," $  3.850,00 "," $  83.110,00 "
Friday,5/11/2021," $  55.600,00 "," $  27.250,00 "," $  19.975,00 "," $  13.980,00 "," $  2.700,00 ", $  -   , $  -   ," $  11.575,00 "," $  2.300,00 "," $  133.380,00 "
Saturday,6/11/2021," $  115.000,00 "," $  24.590,00 ", $  -   ," $  15.850,00 "," $  10.150,00 ", $  -   ," $  4.050,00 "," $  5.925,00 ", $  -   ," $  175.565,00 "
Sunday,7/11/2021," $  54.025,00 "," $  14.940,00 ", $  -   , $  -   ," $  4.725,00 ", $  -   ," $  5.425,00 "," $  5.400,00 "," $  1.475,00 "," $  85.990,00 "
Monday,8/11/2021," $  35.750,00 "," $  9.800,00 ", $  -   , $  -   ," $  9.250,00 ", $  -   , $  -   ," $  6.250,00 ", $  -   ," $  61.050,00 "
Tuesday,9/11/2021, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Wednesday,10/11/2021," $  23.500,00 "," $  26.150,00 ", $  -   ," $  1.850,00 "," $  6.175,00 ", $  -   , $  -   ," $  2.400,00 ", $  -   ," $  60.075,00 "
Thursday,11/11/2021," $  65.615,00 "," $  8.850,00 "," $  4.500,00 "," $  9.850,00 "," $  13.100,00 "," $  10.754,00 ", $  -   ," $  6.400,00 ", $  -   ," $  119.069,00 "
Friday,12/11/2021," $  51.580,00 "," $  24.300,00 "," $  11.200,00 "," $  5.200,00 ", $  -   ," $  8.988,00 ", $  -   ," $  9.125,00 "," $  3.200,00 "," $  113.593,00 "
Saturday,13/11/2021," $  69.410,00 "," $  32.735,00 "," $  13.060,00 "," $  9.150,00 "," $  12.195,00 ", $  -   ," $  1.350,00 "," $  7.400,00 "," $  8.500,00 "," $  153.800,00 "
Sunday,14/11/2021," $  16.350,00 "," $  13.700,00 "," $  3.225,00 "," $  8.300,00 "," $  2.450,00 ", $  -   , $  -   ," $  2.200,00 "," $  1.250,00 "," $  47.475,00 "
Monday,15/11/2021," $  13.500,00 "," $  3.450,00 "," $  4.850,00 "," $  1.350,00 ", $  -   , $  -   , $  -   ," $  2.775,00 ", $  -   ," $  25.925,00 "
Tuesday,16/11/2021, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Wednesday,17/11/2021," $  43.125,00 "," $  13.950,00 "," $  19.050,00 "," $  2.850,00 ", $  -   , $  -   , $  -   ," $  2.200,00 "," $  15.300,00 "," $  96.475,00 "
Thursday,18/11/2021," $  28.750,00 "," $  18.500,00 "," $  6.900,00 ", $  -   ," $  10.650,00 ", $  -   , $  -   ," $  3.750,00 ", $  -   ," $  68.550,00 "
Friday,19/11/2021," $  52.150,00 "," $  26.800,00 "," $  6.600,00 "," $  7.850,00 "," $  6.200,00 "," $  500,00 ", $  -   ," $  4.050,00 ", $  -   ," $  104.150,00 "
Saturday,20/11/2021," $  71.400,00 "," $  62.775,00 "," $  6.400,00 ", $  -   ," $  14.235,00 ", $  -   ," $  8.250,00 "," $  1.850,00 "," $  4.250,00 "," $  169.160,00 "
Sunday,21/11/2021," $  81.510,00 "," $  40.850,00 "," $  13.550,00 "," $  8.750,00 "," $  2.300,00 ", $  -   , $  -   ," $  3.650,00 ", $  -   ," $  150.610,00 "
Monday,22/11/2021," $  26.935,00 "," $  14.100,00 "," $  10.675,00 "," $  3.300,00 "," $  1.925,00 ", $  -   , $  -   ," $  11.575,00 "," $  1.500,00 "," $  70.010,00 "
Tuesday,23/11/2021, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Wednesday,24/11/2021," $  25.585,00 "," $  13.800,00 ", $  -   , $  -   , $  -   , $  -   , $  -   ," $  5.400,00 "," $  1.350,00 "," $  46.135,00 "
Thursday,25/11/2021," $  22.865,00 "," $  12.805,00 ", $  -   , $  -   ," $  4.600,00 ", $  -   ," $  1.325,00 "," $  6.250,00 ", $  -   ," $  47.845,00 "
Friday,26/11/2021," $  60.975,00 "," $  10.450,00 "," $  2.700,00 "," $  900,00 "," $  3.850,00 ", $  -   ," $  2.400,00 "," $  750,00 "," $  4.250,00 "," $  86.275,00 "
Saturday,27/11/2021," $  121.950,00 "," $  51.475,00 "," $  5.790,00 "," $  13.450,00 "," $  13.400,00 ", $  -   , $  -   ," $  2.400,00 "," $  8.950,00 "," $  217.415,00 "
Sunday,28/11/2021," $  46.225,00 "," $  12.612,00 "," $  6.000,00 "," $  712,50 "," $  3.950,00 ", $  -   , $  -   ," $  6.400,00 "," $  7.050,00 "," $  82.949,50 "
Monday,29/11/2021," $  19.050,00 "," $  2.400,00 ", $  -   , $  -   , $  -   , $  -   ," $  2.000,00 "," $  9.125,00 "," $  2.550,00 "," $  35.125,00 "
Tuesday,30/11/2021, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
TOTAL,,,,,,,,,,," $  3.672.798,00 "
