Item Code,Category,Description,Width,Height,Minimum order,Unit price,Units for discouts,% discount,% vat
6058,100% COTTON PERCALE PILLOWCASES,PACK x 2 PLAIN PERCALE,0.5,0.85,5,"$3,511",100,15,21
6069,100% COTTON PERCALE PILLOWCASES,PACK x 2 PLAIN PERCALE,0.55,0.95,5,"$3,867",100,15,21
7047,100% COTTON PERCALE PILLOWCASES,PACK x 2 STRIPED PERCALE,0.4,0.75,5,"$2,978",100,15,21
7057,100% COTTON PERCALE PILLOWCASES,PACK x 2 STRIPED PERCALE,0.5,0.75,5,"$3,356",100,15,21
7058,100% COTTON PERCALE PILLOWCASES,PACK x 2 STRIPED PERCALE,0.5,0.85,5,"$3,633",100,15,21
7069,100% COTTON PERCALE PILLOWCASES,PACK x 2 STRIPED PERCALE,0.5,0.95,5,"$4,000",100,15,10.5
6147,100% COTTON PERCALE PILLOWCASES,PACK x 10 PLAIN PERCALE,0.4,0.75,1,"$1,367",50,15,21
6157,100% COTTON PERCALE PILLOWCASES,PACK x 10 PLAIN PERCALE,0.5,0.75,1,"$1,556",50,15,21
6158,100% COTTON PERCALE PILLOWCASES,PACK x 10 PLAIN PERCALE,0.5,0.85,1,"$1,678",50,15,21
6169,100% COTTON PERCALE PILLOWCASES,PACK x 10 PLAIN PERCALE,0.55,0.95,1,"$1,856",50,15,21
7147,100% COTTON PERCALE PILLOWCASES,PACK x 10 STRIPED PERCALE,0.4,0.75,1,"$1,409",50,15,21
7157,100% COTTON PERCALE PILLOWCASES,PACK x 10 STRIPED PERCALE,0.5,0.75,1,"$1,600",50,15,21
7158,100% COTTON PERCALE PILLOWCASES,PACK x 10 STRIPED PERCALE,0.5,0.85,1,"$1,733",50,15,21
7169,100% COTTON PERCALE PILLOWCASES,PACK x 10 STRIPED PERCALE,0.55,0.95,1,"$1,922",50,15,21
8401,PERCALE SHEET 100% COTTON,100% COTTON SHEET 1 1/2 PLUS PLAIN PERCALE,2,2.7,1,"$10,732",10,10.5,10.5
8402,PERCALE SHEET 100% COTTON,100% COTTON SHEET 2 1/2 PLAIN PLAIN PERCALE,2.4,2.7,1,"$15,464",10,10.5,10.5
8403,PERCALE SHEET 100% COTTON,100% COTTON SHEET QUEEN PLAIN PERCALE PLAIN,2.55,2.7,1,,,,
8404,PERCALE SHEET 100% COTTON,100% COTTON SHEET KING PLAIN PERCALE PLAIN,2.6,2.8,1,,,,
AL120,Rugs,PRINTED CARPET HOME VARIOUS 100% Polyester,1.5,1.20,10,"$6,833",24,10.5,10.5
NAL120,Rugs,PRINTED CARPET HOME CHILDREN 100% Polyester,1.5,1.20,10,"$6,833",24,10.5,10.5
CCA10,Rugs,BED SIDE - MULTIPURPOSE CARPET 100% Polyester,1.5,0.5,10,"$4,000",24,10.5,10.5
2251,Pillows and Cushions,ONLY PERCAL Fabric: Percale/Siliconeed Polyester,0.5,1,10,"$4,667",24,10.5,10.5
2051,Pillows and Cushions,UNICA COTTON Fabric: MicroFiber/ Silicone Polyester,0.5,1,10,"$3,556",24,10.5,21
2259,Pillows and Cushions,ONLY PERCAL Fabric: Percale/Siliconeed Polyester,0.5,0.9,10,"$4,244",24,10.5,10.5
4259,Pillows and Cushions,ZIP COMPRESSED PERCALE Fabric: Percale/Siliconeed Polyester,0.5,0.9,20,"$4,444",24,10.5,10.5
2059,Pillows and Cushions,UNICA COTTON Fabric: MicroFiber/ Silicone Polyester,0.5,0.9,10,"$3,500",24,10.5,21
2258,Pillows and Cushions,ONLY PERCAL Fabric: Percale/Siliconeed Polyester,0.5,0.8,10,"$3,894",24,10.5,10.5
4258,Pillows and Cushions,ZIP COMPRESSED PERCALE Fabric: Percale/Siliconeed Polyester,0.5,0.8,20,"$4,222",24,10.5,10.5
2058,Pillows and Cushions,UNICA COTTON Fabric: MicroFiber/ Silicone Polyester,0.5,0.8,10,"$3,111",40,10.5,21
5257,Pillows and Cushions,UNICA PREMIUM WITH BELLOWS Fabric: Percale/Siliconeed Polyester,0.5,0.7,10,"$5,233",24,10.5,10.5
4257,Pillows and Cushions,ZIP COMPRESSED PERCALE Fabric: Percale/Siliconeed Polyester,0.5,0.7,30,"$3,967",24,10.5,10.5
4357,Pillows and Cushions,COMPRESSED MICROFIBER Fabric: WOVEN MICROFIBER,0.5,0.7,30,"$3,044",40,10.5,10.5
2257,Pillows and Cushions,ONLY PERCAL Fabric: Percale/Siliconeed Polyester,0.5,0.7,10,"$3,611",24,10.5,10.5
2057,Pillows and Cushions,UNICA COTTON Fabric: MicroFiber/ Silicone Polyester,0.5,0.7,10,"$2,911",40,10.5,21
3057,Pillows and Cushions,CIELO TEXTILE Classic Line Fabric: MicroFiber/Polyester,0.5,0.7,10,"$2,472",40,10.5,21
3157,Pillows and Cushions,CIELO TEXTIL Essential Line Fabric: Friseline/Polyester,0.5,0.7,10,"$2,178",40,10.5,21
2247,Pillows and Cushions,ONLY PERCAL Fabric: Percale/Siliconeed Polyester,0.4,0.7,10,"$2,833",40,10.5,21
2047,Pillows and Cushions,UNICA COTTON Fabric: MicroFiber/ Silicone Polyester,0.4,0.7,10,"$2,444",40,10.5,21
3047,Pillows and Cushions,CIELO TEXTILE Classic Line Fabric: MicroFiber/Polyester,0.4,0.7,10,"$2,089",40,10.5,21
3147,Pillows and Cushions,CIELO TEXTIL Essential Line Fabric: Friseline/Polyester,0.4,0.7,10,"$1,889",40,10.5,21
2066,Pillows and Cushions,NONITO Classic Line Fabric: MicroFiber/ Silicone Polyester,0.6,0.6,10,"$2,500",40,10.5,21
2166,Pillows and Cushions,NONITO Classic Line Fabric: Friseline/Silicone Polyester,0.6,0.6,10,"$2,222",40,10.5,21
3066,Pillows and Cushions,NONITO Essential Line Fabric: MicroFiber/Polyester,0.6,0.6,10,"$2,333",40,10.5,21
3166,Pillows and Cushions,NONITO Essential Line Fabric: Friseline/Polyester,0.6,0.6,10,"$2,056",40,10.5,21
4055,Pillows and Cushions,DECO. ZIP Compressed Cushion Fabric: Microfiber/ Silicone Polyester,0.5,0.5,50,"$1,644",40,10.5,21
4155,Pillows and Cushions,DECO. ZIP Compressed Cushion Fabric: Friselin/Silicone Polyester,0.5,0.5,50,"$1,433",40,10.5,21
2055,Pillows and Cushions,NONITO Classic Line Fabric: MicroFiber/ Silicone Polyester,0.5,0.5,20,"$1,644",40,10.5,21
2155,Pillows and Cushions,NONITO Classic Line Fabric: Friseline/Silicone Polyester,0.5,0.5,20,"$1,433",40,10.5,21
3055,Pillows and Cushions,NONITO Essential Line Fabric: MicroFiber/Polyester,0.5,0.5,20,"$1,544",40,10.5,21
3155,Pillows and Cushions,NONITO Essential Line Fabric: Friseline/Polyester,0.5,0.5,20,"$1,356",40,10.5,21
4045,Pillows and Cushions,DECO. ZIP Compressed Cushion Fabric: Microfiber/ Silicone Polyester,0.45,0.45,50,"$1,378",40,10.5,21
4145,Pillows and Cushions,DECO. ZIP Compressed Cushion Fabric: Friselin/Silicone Polyester,0.45,0.45,50,"$1,239",40,10.5,21
2045,Pillows and Cushions,NONITO Classic Line Fabric: MicroFiber/ Silicone Polyester,0.45,0.45,20,"$1,378",40,10.5,21
2145,Pillows and Cushions,NONITO Classic Line Fabric: Friseline/Silicone Polyester,0.45,0.45,20,"$1,239",40,10.5,21
3045,Pillows and Cushions,NONITO Essential Line Fabric: MicroFiber/Polyester,0.45,0.45,20,"$1,356",40,10.5,21
3145,Pillows and Cushions,NONITO Essential Line Fabric: Friseline/Polyester,0.45,0.45,20,"$1,211",40,10.5,21
4044,Pillows and Cushions,DECO. ZIP Compressed Cushion Fabric: Microfiber/With Memory,0.4,0.4,50,"$1,267",40,10.5,21
4144,Pillows and Cushions,DECO. ZIP Compressed Pillow Fabric: Friseline/With Memory,0.4,0.4,50,"$1,144",40,10.5,21
2044,Pillows and Cushions,NONITO Classic Line Fabric: MicroFiber/ Silicone Polyester,0.4,0.4,30,"$1,267",40,10.5,21
2144,Pillows and Cushions,NONITO Classic Line Fabric: Friseline/Silicone Polyester,0.4,0.4,30,"$1,144",40,10.5,21
3044,Pillows and Cushions,NONITO Essential Line Fabric: MicroFiber/Polyester,0.4,0.4,30,"$1,194",40,10.5,21
3144,Pillows and Cushions,NONITO Essential Line Fabric: Friseline/Polyester,0.4,0.4,30,"$1,100",40,10.5,21
25257,Pillows and Cushions,PACK X 2 PREMIUM WITH BELLOWS Fabric: Percale/Siliconeed Polyester,0.5,0.7,1,"$10,000",10,25,10.5
