Storehouse,Storage location,Product Code,Product Name,Model,Brand,Batch number,Inventory
Temp Warehouse,,P24341,IC,TLV2374IPWR,TI,2113,20000
Temp Warehouse,,P43449,IC,TPS54160DGQR,TI,2115,20000
Temp Warehouse,,P13960,IC,AM26C32IDR,TI,2118/2119,20000
Temp Warehouse,,P34240,IC,UA9638CDR,TI,2101/2104/2105/2106,20000
Temp Warehouse,,P41560,IC,L78L15ABUTR,ST,2115,20000
Temp Warehouse,,964FF9B8-24ED-4D3F-90BB-6B56DA89AF9C,IC,GRM155R71H102JA01D,MURATA,16,20000
Temp Warehouse,,P47521,IC,LM258DRG4,TI,2118/2120,17500
Temp Warehouse,,P44910,IC,LM2660MX,TI,2050/2103,15000
Temp Warehouse,,P45004,IC,TPS622311DRYR,TI,2003,15000
Temp Warehouse,,P45911,IC,TLV9062IDGKR,TI,2052/21+,15000
Temp Warehouse,,P37263,IC,ADP150AUJZ-3.3,AD,2115/2117,15000
Temp Warehouse,,P44811,IC,AD627ARZ,ADI,2104/2102,14398
Temp Warehouse,,P44999,IC,SN74HC11DR,TI,2116,12500
Temp Warehouse,,P17295,IC,MURS260T3G,ON,2002/2004,12500
Temp Warehouse,,P18130,IC,SN74LVC4245ADBR,TI,2015,12000
Temp Warehouse,,P46196,Optocoupler,TLP185GB,TOSHIBA,1832,12000
Temp Warehouse,,P24341,IC,TLV2374IPWR,TI,2107,11534
Temp Warehouse,,P22614,IC,ESD9L5.0ST5G,Onsemi,1947,11000
Temp Warehouse,,P46971,IC,DAC0808LCMX/NOPB,TI,2002/2027/2030,10093
Temp Warehouse,,P43983,IC,LT1761ES5-5,ADI,2116/2117/2119/2120,10000
Temp Warehouse,,P24341,IC,TLV2374IPWR,TI,2104,10000
Temp Warehouse,,P45004,IC,TPS622311DRYR,TI,2003,10000
Temp Warehouse,,B5F0570E-2D2B-4840-BF7F-B22566887A7D,IC,ADM3101EACPZ,AD,2109,10000
Temp Warehouse,,P44997,IC,SN74HC595D,TI,2028,10000
Temp Warehouse,,P45487,IC,IHLP2525CZER220M11,VISHAY,2118,10000
Temp Warehouse,,P29109,IC,AD8532ARZ,ADI,2038/2032/2027/2035,10000
Temp Warehouse,,P43231,IC,TLP290GB,TOSHIBA,1913,10000
Temp Warehouse,,P45485,Tantalum capacitor,TAJB335K035RNJ,AVX,2048,10000
Temp Warehouse,,P42283,IC,"0466002,NR",littelfuse,2048,10000
Temp Warehouse,,750202D6-7B54-4A9D-A1F6-E64A663C9221,IC,GRM1555C1H4R7CZ01D,MURATA,16,10000
Temp Warehouse,,P45858,IC,LMC7660IM/NOPB,TI,1731/1949,9254
Temp Warehouse,,P46281,IC,MT29F16G08ABABAWP-IT:B,MICRON,21+,9000
Temp Warehouse,,P47109,IC,TPS3106K33DBV,TI,2023,9000
Temp Warehouse,,P07732,IC,SN74LVC2T45DCUR,TI,2037/2117,9000
Temp Warehouse,,P23369,IC,SN74LVC2G14DBVR,TI,2122/2123,9000
Temp Warehouse,,P11209,IC,74AHC1G14GW,NXP,17+,9000
Temp Warehouse,,P00016,IC,RCLAMP0524P,SEMTECH,2113,9000
Temp Warehouse,,P45911,IC,TLV9062IDGKR,TI,2050/2051,8970
Temp Warehouse,,P47504,IC,TL431AIDT,ST,2122,8500
Temp Warehouse,,P45711,"
DCDC chip",LM2622MM-ADJ/NOPB,TI,2042,8000
Temp Warehouse,,P45464,IC,LMH6601MG/NOPB,TI,2009,8000
Temp Warehouse,,P48421,Analog switch chip,SGM3005XMS,Shengbangwei,1908,8000
Temp Warehouse,,P39528,IC,ZVP4525ZTA,DIODES,2016,8000
Temp Warehouse,,P25395,IC,ADR441BRZ,ADI,2043/2052/2101/2102/2112,7503
Temp Warehouse,,P34339,IC,TLV2372IDR,TI,2047,7500
Temp Warehouse,,P45078,IC,TPS5432DDAR,TI,2005,7500
Temp Warehouse,,P45078,IC,TPS5432DDAR,TI,2002,7500
Temp Warehouse,,P25202,IC,SN74LVC1G79DBVR,TI,1926/1927/1934,7200
Temp Warehouse,,P45214,IC,TLV2372IDR,TI,2044,7100
Temp Warehouse,,P44855,MOS Tube,STW9NK90Z,ST,2043/2048/2123/2125,6600
Temp Warehouse,,P47538,IC,MCP6002T-I/SN,MICROCHIP,2119,6600
Temp Warehouse,,ACA60ABC-48A1-46EF-9F73-AAD5237AA177,IC,P6SMB150A,LITTELF,1740,6480
Temp Warehouse,,P45856,IC,ISO1050DUBR,TI,2106,6430
Temp Warehouse,,P35868,DDR3 SDRAM,MT41K256M16TW-107:P,MICRON,2052,6000
Temp Warehouse,,P33609,IC,ADA4896-2ARMZ,ADI,2108,6000
Temp Warehouse,,P47227,IC,HMC311SC70ETR,ADI,2111,6000
Temp Warehouse,,P47228,IC,HMC311LP3ETR,ADI,2115,6000
Temp Warehouse,,P41272,Temperature Sensor,DS18B20+,MAXIM,2111,6000
Temp Warehouse,,P47109,IC,TPS3106K33DBV,TI,2106,6000
Temp Warehouse,,P47109,IC,TPS3106K33DBV,TI,2106,6000
Temp Warehouse,,P36376,IC,TMP101NA/3K,TI,2015,6000
Temp Warehouse,,P19273,IC,TPD12S521DBTR,TI,2116,6000
Temp Warehouse,,P19273,IC,TPD12S521DBTR,TI,2121,6000
Temp Warehouse,,P48225,IC,SN74HC86DR,TI,2113,6000
Temp Warehouse,,P47659,IC,IRFR5410TRPBF,INFINEON,2121,6000
Temp Warehouse,,P28769,IC,ADG719BRTZ-REEL7,ADI,2042,6000
Temp Warehouse,,P48423,"
SMD IC card reader chip",TDA8035HN,NXP,2113,6000
Temp Warehouse,,P08794,IC,SMBJ3V3,VISHAY,1735,6000
Temp Warehouse,,26541153-E09A-41AC-84C7-2AC5DAC906BE,IC,NANOSMDC150F-2,TE,2120,6000
Temp Warehouse,,P31946,diode,PESD15VL2BT,NXP,1920,6000
Temp Warehouse,,55331C8A-CEE6-4955-A024-269FEE7EB7C3,IC,MMBTA42LT1G,ON,1618/1619+,5863
Temp Warehouse,,P47594,IC,REF2033AIDDCR,TI,2122,5800
Temp Warehouse,,P41967,IC,OPA2340UA/2K5,TI,2036,5290
Temp Warehouse,,B5F0570E-2D2B-4840-BF7F-B22566887A7D,IC,ADM3101EACPZ,AD,2039,5200
Temp Warehouse,,P44798,Chip,AD8138ARMZ,ADI,2119,5000
Temp Warehouse,,P44076,IC,LTC3521IUF,ADI,2030,5000
Temp Warehouse,,P44811,IC,AD627ARZ,ADI,2102,5000
Temp Warehouse,,P48247,IC,LT1790BCS6-3.3,ADI,2006,5000
Temp Warehouse,,P05623,IC,MAX319ESA+,MAXIM,2118,5000
Temp Warehouse,,P06145,IC,TPS40055PWPR,TI,2004,5000
Temp Warehouse,,P44999,IC,SN74HC11DR,TI,2116,5000
Temp Warehouse,,P45883,IC,MAX6816EUS+,MAXIM,2118,5000
Temp Warehouse,,P16255,,TMP36GT9Z,AD,2038/2041,5000
Temp Warehouse,,B5F0570E-2D2B-4840-BF7F-B22566887A7D,IC,ADM3101EACPZ,AD,2112,5000
Temp Warehouse,,P00551,IC,L6563A,ST,1810,5000
Temp Warehouse,,P41908,IC,SI4835DDY-T1-GE3,VISHAY,2007/2008,5000
Temp Warehouse,,P48226,IC,L7915CV-DG,ST,2049,5000
Temp Warehouse,,P47504,IC,TL431AIDT,ST,2121,5000
Temp Warehouse,,P42911,IC,RS1M-13-F,DIODES,2101,5000
Temp Warehouse,,P48425,Schottky diodes,SK310A-LTP,MCC,2107,5000
Temp Warehouse,,6F3C06EA-2356-4744-988C-7AF909CF2FF1,IC,RS1M-13-F,DIODES,1746,5000
Temp Warehouse,,P07701,IC,LT1761ES5-5,LT,2050/2052,4882
Temp Warehouse,,P12706,IC,SI4463-C2A-GMR,SILICON,21+,4800
Temp Warehouse,,P39170,IC,TPS62237DRYR,TI,1723,4775
Temp Warehouse,,P27512,IC,LM324DR,TI,2102,4750
Temp Warehouse,,P42776,IC,DAC124S085CIMMX/NOPB,TI,2121,4698
Temp Warehouse,,P44389,"
Isolator IC",ADM3251EARWZ,AD,2119,4600
Temp Warehouse,,P46136,IC,ICE2PCS01G,Infineon,2109,4572
Temp Warehouse,,D08DD5D1-0A7A-4138-892B-3DBC3A2B16E8,IC,MP2130DG-LF-Z,MPS,1504+,4510
Temp Warehouse,,P48384,IC,AD9221ARSZ,ADI,2043/2110,4500
Temp Warehouse,,P46070,IC,LT6202IS5#TRMPBF,LT,2046,4500
Temp Warehouse,,4A113FFE-8DA5-46C0-99A4-00CF91FEACCA,IC,SMBJ40A-E3/52,VISHAY,1821,4500
Temp Warehouse,,P44771,IC,AD7799BRUZ,ADI,2107,4370
Temp Warehouse,,1EA75E8D-EC32-406E-B24C-8F745C57B5AC,IC,MP38900DL-LF-Z,MPS,1618+,4250
Temp Warehouse,,P35868,DDR3 SDRAM,MT41K256M16TW-107:P,MICRON,2048,4000
Temp Warehouse,,P40293,IC,ADA4000-2ARZ,AD,2044,4000
Temp Warehouse,,P17488,IC,TB62209FG,TOSHIBA,2016/2017,4000
Temp Warehouse,,P47637,IC,ISO3082DWR,TI,2104,4000
Temp Warehouse,,P06145,IC,TPS40055PWPR,TI,2004,4000
Temp Warehouse,,P47108,IC,DRV8880PWPR,TI,2048,4000
Temp Warehouse,,P42927,Chip,TPS54325PWP,TI,2107,4000
Temp Warehouse,,P44044,IC,LM1117MPX-3.3,TI,2119,4000
Temp Warehouse,,P48401,IC,SN74CBTLV3257PWR,TI,2045,4000
Temp Warehouse,,P46515,IC,SN74ACT244PWR,TI,2122,4000
Temp Warehouse,,P34242,IC,UA78L05AIPK,TI,2118,4000
Temp Warehouse,,P44998,IC,SN74HC86DR,TI,2113,4000
Temp Warehouse,,P25723,IC,LM2902PWR,TI,1916/1917/1918,4000
Temp Warehouse,,P22614,IC,ESD9L5.0ST5G,Onsemi,1947,4000
Temp Warehouse,,P34778,IC,10uf 1206 16V 10%,Yageo,1951,4000
Temp Warehouse,,4F59815C-A6F6-49EC-B98A-E7199B42E739,IC,GRM155R60J105KE19D,muRata,14+,4000
Temp Warehouse,,4F59815C-A6F6-49EC-B98A-E7199B42E739,IC,GRM155R60J105KE19D,muRata,15,4000
Temp Warehouse,,P45325,IC,BSC117N08NS5,Infineon,2105/2109,3965
Temp Warehouse,,P44928,IC,TPS622314DRYR,TI,1936,3799
Temp Warehouse,,P19273,IC,TPD12S521DBTR,TI,2121/2117,3776
Temp Warehouse,,2E13DD17-F777-4E1E-B4FE-FDCC2C901214,IC,BLM15AG102AN1D,MURATA,15+,3600
Temp Warehouse,,P45858,IC,LMC7660IM/NOPB,TI,2112,3576
Temp Warehouse,,P29109,IC,AD8532ARZ,ADI,2038/2032/2027/2035,3548
Temp Warehouse,,P45723,IC,LM2622MMX-ADJ,TI,1845,3500
Temp Warehouse,,P32215,IC,CC0603KRX5R9BB225,YAGEO,1942,3400
Temp Warehouse,,P47582,PEIS24C16XISNAA,24LC16BT-I/SN,MICROEHIP,1946,3300
Temp Warehouse,,40006C52-C45A-4416-9036-52596BB571A6,IC,74LV125D,NXP,1404+,3230
Temp Warehouse,,P44965,"
MOS tube",BSC117N08NS5,INFINEON,2102/2026,3087
Temp Warehouse,,D15D4349-A7EE-477E-93D6-E7DB26E01E7C,IC,HCPL-073L,AVAGO,1827/1826/1825,3030
Temp Warehouse,,P48081,IC,UPD720114GA-YEU-A,Renesas,2108,3017
Temp Warehouse,,P35605,IC,ADN8834ACBZ,AD,2019,3000
Temp Warehouse,,P47284,IC,AD8034ARZ,ADI,2106,3000
Temp Warehouse,,P43064,IC,ADR421ARZ,ADI,2048/2050,3000
Temp Warehouse,,P38523,IC,LT3062EDCB,LT,2043,3000
Temp Warehouse,,P29019,IC,ADR392BUJZ,AD,2027,3000
Temp Warehouse,,P45465,IC,LMH6601MGX/NOPB,TI,2023,3000
Temp Warehouse,,P44928,IC,TPS622314DRYR,TI,1936,3000
Temp Warehouse,,P14822,IC,TPS74701DRCR,TI,2044,3000
Temp Warehouse,,P34747,IC,SN74AXC1T45DBV,TI,2117,3000
Temp Warehouse,,P14146,IC,SN74LVC1G14DBVR,TI,2118/2021/2049,3000
Temp Warehouse,,P02687,IC,IRFR5410TRPBF,IR,2120/2119,3000
Temp Warehouse,,P44369,digital potentiometer,3224W-1-102E,BOURNS,2101/2102/2107,3000
Temp Warehouse,,P47888,IC,STPS30H100CW,ST,1831/1832,3000
Temp Warehouse,,P44917,IC,MB85RC16PNF-G-JNERE1,FUJITSU,2113,3000
Temp Warehouse,,P37238,IC,6N137,ON,2105,3000
Temp Warehouse,,P48181,IC,NC7WZU04P6X,ON,2103,3000
Temp Warehouse,,P21027,IC,NSR0320MW2T1G,ON,2109,3000
Temp Warehouse,,P21027,IC,NSR0320MW2T1G,ON,2109,3000
Temp Warehouse,,P06610,IC,ZVN4525ZTA,Zetex,20+,3000
Temp Warehouse,,P41257,solid capacitor,VEJ331M1CTR-1010,lelon (Taiwan Lilong),20+,3000
Temp Warehouse,,P41153,Tantalum capacitor,TAJB106K016RNJ,AVX,2052/2102,3000
Temp Warehouse,,P36102,IC,X322525MSB4SI,YXC Yangxing Technology,2105,3000
Temp Warehouse,,P36102,IC,X322525MSB4SI,YXC Yangxing Technology,2106,3000
Temp Warehouse,,P33227,IC,1812L110/24,LITTELFUSE,2101,3000
Temp Warehouse,,P22307,IC,DTA013ZMT2L,ROHM,2年内,3000
Temp Warehouse,,P15279,IC,BC856CMTF,ON,1810,3000
Temp Warehouse,,26541153-E09A-41AC-84C7-2AC5DAC906BE,IC,NANOSMDC150F-2,TE,2042,3000
Temp Warehouse,,A504E4E4-2DC6-4AA0-B88B-456E2E8A8A16,IC,BLM21BB102SN,BLM21BB102SN,16+,3000
Temp Warehouse,,363F39EF-CB68-4766-AC86-CF07744482AB,IC,MMSZ5258BT1G,ON,1443+,2998
Temp Warehouse,,P17331,IC,LP5907QMFX-3.3Q1,TI,2115,2980
Temp Warehouse,,P31462,IC,SN74HCT00DR,TI,1943,2929
Temp Warehouse,,P34246,IC,TPS54292PWPR,TI,2022,2900
Temp Warehouse,,P11676,IC,SN74LVC1G3157DBVR,TI,2106,2900
Temp Warehouse,,P48218,IC,TPS7A4901DRBR,TI,2117,2893
Temp Warehouse,,P30594,Chip diode,1N4148W,CJ,1911,2880
Temp Warehouse,,P19273,IC,TPD12S521DBTR,TI,2121/2116,2872
Temp Warehouse,,P46256,IC,TS5A23157RSER,TI,2115,2850
Temp Warehouse,,P07239,IC,TXS02612RTWR,TI,2029,2750
Temp Warehouse,,P13627,IC,TLP185BLL,TOSHIBA,2013,2744
Temp Warehouse,,P45328,IC,ADM7171ACPZ-R7,ADI,2051,2700
Temp Warehouse,,P46069,IC,TPS65283RGER,TI,20+,2700
Temp Warehouse,,P19927,IC,TPS73601DCQR,TI,2120/2118,2651
Temp Warehouse,,P48191,IC,TPS72301QDBVRQ1,TI,2119,2648
Temp Warehouse,,P44911,IC,PI3VDP1430ZBE,DIODES,2105,2569
Temp Warehouse,,P13001,IC,CSD17313Q2,TI,3年内,2560
Temp Warehouse,,P19927,IC,TPS73601DCQR,TI,2039/2113,2545
Temp Warehouse,,P36948,IC,ADV7179BCPZ,ADI,2106/2108,2500
Temp Warehouse,,P48198,IC,SI8660BA-B-IS1R,SILICON,2119,2500
Temp Warehouse,,P32917,IC,LT3042EDD,LINEAR,2033,2500
Temp Warehouse,,P48406,IC,SP3232EEN-L/TR,EXAR,2122,2500
Temp Warehouse,,P06145,IC,TPS40055PWPR,TI,2004,2500
Temp Warehouse,,P47833,IC,UCC2813QDR-5Q1,TI,2118,2500
Temp Warehouse,,P44454,charge pump,LMC7660IMX/NOPB,TI,2108,2500
Temp Warehouse,,P32353,,UCC27324D,TI,2018,2500
Temp Warehouse,,P45433,"
Quad op amp",LM324DR,TI,2049,2500
Temp Warehouse,,P47521,IC,LM258DRG4,TI,2118,2500
Temp Warehouse,,P16432,IC,74LVC245APW,NXP,2038,2500
Temp Warehouse,,P39014,protection diode,SMBJ30CA-TR,ST,1938,2500
Temp Warehouse,,P47504,IC,TL431AIDT,ST,2122,2500
Temp Warehouse,,P47504,IC,TL431AIDT,ST,2122,2500
Temp Warehouse,,P14507,IC,LM2904VDG,ON,1943,2500
Temp Warehouse,,P30311,IC,1SMB5.0AT3G,Onsemi,1641,2500
Temp Warehouse,,BA63E642-5F38-4052-A3FA-FC45CAA5ABE5,IC,MMSD4148T1G,ON,1526+,2500
Temp Warehouse,,P46697,IC,AMC1100DWVR,TI,2113/2114/2115,2452
Temp Warehouse,,P29109,IC,AD8532ARZ,ADI,2038/2032/2027/2035,2452
Temp Warehouse,,016EDA62-81B1-4722-B429-3ED4AE13503C,IC,GRM188R60J106KE47D,MUTRA,16+,2400
Temp Warehouse,,P40652,IC,TPS61500PWPR,TI,2032,2340
Temp Warehouse,,P45320,IC,ADS1110A0IDBVR,TI,2116/2117,2319
Temp Warehouse,,P25351,,LT3042IDD,LINEAR,2032,2313
Temp Warehouse,,F571B5E6-C4E7-49AA-98BD-4F30F8631CB5,IC,PCX2335ML104,PILKOR,648,2300
Temp Warehouse,,P45850,IC,TPS70618DBVR,TI,1803,2290
Temp Warehouse,,P35708,,MAX1978ETM+,MAXIM,2018,2230
Temp Warehouse,,P08107,IC,ADV7127KRUZ140,ADI,2027,2206
Temp Warehouse,,P47778,IC,TPS73601DCQ,TI,2113/2121,2166
Temp Warehouse,,P35154,IC,MAX3232CUE+T,MAXIM,2050/2103(C3),2100
Temp Warehouse,,P44911,IC,PI3VDP1430ZBE,DIODES,2017,2094
Temp Warehouse,,P05615,IC,AD620ARZ,ADI,2116,2093
Temp Warehouse,,P33609,IC,ADA4896-2ARMZ,ADI,2025,2091
Temp Warehouse,,P47999,IC,MKL17Z64VFM4,NXP,2107,2060
Temp Warehouse,,P29467,IC,LP2992ILD-1.8,TI,1701/1837,2040
Temp Warehouse,,P44770,IC,AD8309ARUZ,ADI,2111,2000
Temp Warehouse,,P44693,IC,LTC2245IUH,ADI,2021,2000
Temp Warehouse,,P22564,flash memory,THGBM5G7A2JBAIR,TOSHIBA,1901,2000
Temp Warehouse,,P35868,DDR3 SDRAM,MT41K256M16TW-107:P,MICRON,2008,2000
Temp Warehouse,,P47284,IC,AD8034ARZ,ADI,2108,2000
Temp Warehouse,,P44654,IC,ADA4891-2ARMZ,AD,2111,2000
Temp Warehouse,,P45883,IC,MAX6816EUS+,MAXIM,2110,2000
Temp Warehouse,,P28962,resistance,3224W-1-502E,BOURNS,2108/2109,2000
Temp Warehouse,,P47986,IC,TBD62083AFWG,TOSHIBA,2110,2000
Temp Warehouse,,P40971,"
Analog IC",DAC7568ICPWR,TI,2051,2000
Temp Warehouse,,P43493,IC,TPS54160DGQR,TI,2107,2000
Temp Warehouse,,P46397,IC,LM1117MPX-1.8,TI,1848,2000
Temp Warehouse,,D5327C4D-CC68-4DB3-826C-E84B95E1FA4D,IC,CD4051BPW,TI,1449+,2000
Temp Warehouse,,P07205,IC,TPD4S012DRYR,TI,2012,2000
Temp Warehouse,,P28786,IC,74HC594DB,NXP,within two years,2000
Temp Warehouse,,P29247,IC,NX5032GA-8.000M-STD-CSU-1,NDK,21+,2000
Temp Warehouse,,P19156,IC,MGSF1N03LT1G,ON,1935,2000
Temp Warehouse,,P39014,protection diode,SMBJ30CA-TR,ST,1938,2000
Temp Warehouse,,P08946,IC,IRLML6302TRPBF,IR,1751,2000
Temp Warehouse,,P33661,IC,1812L110/33,LITTELFUSE,2109,2000
Temp Warehouse,,P35064,IC,NL17SZ32DFT2G,ON,18+,2000
Temp Warehouse,,P05125,,BLM21BB201SN1B,Murata,1706,2000
Temp Warehouse,,430ECC9D-CE5C-4E29-B03B-7D38A6AF3546,IC,MLF1608C150K,TDK,1450+,2000
Temp Warehouse,,A09C7B9E-54A9-41A7-95A0-D8DA911244C5,IC,MASW-007935,M/A-COM,1329+,1980
Temp Warehouse,,P37976,memory,MT40A256M16GE-083E IT:B,MICRON,2004,1943
Temp Warehouse,,P09651,,2N7002KT1G,ONSemiconductor,18+,1900
Temp Warehouse,,P45714,IC,TPS2065DBVR,TI,2113,1898
Temp Warehouse,,P26665,IC,XC6SLX16-2CSG324C,XILINX,2109/2117,1890
Temp Warehouse,,P06145,IC,TPS40055PWPR,TI,2004,1887
Temp Warehouse,,P01575,IC,TL431AIZT,ST,1750+,1850
Temp Warehouse,,P48132,IC,IS25LQ040B-JNLE,ISSI,2108,1840
Temp Warehouse,,P19273,IC,TPD12S521DBTR,TI,2116,1804
Temp Warehouse,,P47682,IC,XC7Z010-1CLG400I,XIL,2113,1800
Temp Warehouse,,P00818,IC,MT28GU01GAAA1EGC-0SIT,MICRON,1746,1800
Temp Warehouse,,P00818,IC,MT28GU01GAAA1EGC-0SIT,MICRON,1748,1800
Temp Warehouse,,P10751,IC,430450609,MOLEX,1815,1800
Temp Warehouse,,P34967,protection diode,SD36-01FTG,Littelfuse,1850,1800
Temp Warehouse,,74F86710-CDC1-4F7E-BBA2-9716E92EDE12,IC,HZM7.5NB2,Renesas,15+,1791
Temp Warehouse,,P24613,IC,TMS320F2802PZA-60,TI,2123/2122,1790
Temp Warehouse,,7E01BC44-D668-4126-8096-04FB5A0A9F65,IC,2SC2618RD,HITACHI,15+,1771
Temp Warehouse,,P06283,IC,MT47H64M16HR-25IT:H,MICRON,1524,1706
Temp Warehouse,,P44454,charge pump,LMC7660IMX/NOPB,TI,2117,1700
Temp Warehouse,,P02922,IC,0805CS-560XGLB,COILCRAFT,16+,1700
Temp Warehouse,,P05215,IC,GRM188R71H104KA93D,MURATA,2119,1700
Temp Warehouse,,P28139,IC,SIR878BDP-T1-RE3,VISHAY,1950+,1690
Temp Warehouse,,P03409,IC,ADM2587EBRWZ,ADI,2116,1680
Temp Warehouse,,P39054,IC,ADG1604BRUZ,ADI,2039,1645
Temp Warehouse,,P39530,IC,IRL540NSTRLPBF,INFINEON,2018,1600
Temp Warehouse,,P27236,IC,LTM4644IY#PBF,ADI,2116/2123,1530
Temp Warehouse,,P40971,Analog IC,DAC7568ICPWR,TI,2031,1509
Temp Warehouse,,P44341,IC,TL331IDBVR,TI,2049,1500
Temp Warehouse,,P29115,IC,SMBJ5.0A-E3/52,VISHAY,2046,1500
Temp Warehouse,,P29115,IC,SMBJ5.0A-E3/52,VISHAY,2034,1500
Temp Warehouse,,3A8B6980-4014-4E00-848B-3EBAECA4E825,IC,IRLML6302,IR,1427+,1500
Temp Warehouse,,P33227,IC,1812L110/24,LITTELFUSE,1928,1500
Temp Warehouse,,P33227,IC,1812L110/24,LITTELFUSE,2038,1500
Temp Warehouse,,P28719,IC,BAT54C,ON,1847,1500
Temp Warehouse,,P45319,IC,ADUM1401ARWZ,ADI,2104,1489
Temp Warehouse,,P27833,IC,TJA1042T/1J,NXP,2103,1478
Temp Warehouse,,P11784,IC,SN74LVC8T245PW,TI,2115,1467
Temp Warehouse,,D15D4349-A7EE-477E-93D6-E7DB26E01E7C,IC,HCPL-073L,AVAGO,1830/1834,1450
Temp Warehouse,,P29108,IC,ADuM2401CRWZ,ADI,2034/2031,1418
Temp Warehouse,,P45392,Data converter IC,DAC7513E/2K5,TI,1930,1400
Temp Warehouse,,48ED6036-0FD1-4D72-8E3E-09AFC3D95A8E,IC,BQ24085DRCR,TI,1601+,1400
Temp Warehouse,,P45643,IC,THS4521IDR,TI,1944/2021/1939,1387
Temp Warehouse,,P08107,IC,ADV7127KRUZ140,ADI,2111,1364
Temp Warehouse,,P47982,IC,TMS320F2802PZA-60,TI,2122/2123,1360
Temp Warehouse,,P23542,IC,ADF4158CCPZ,AD,1906,1340
Temp Warehouse,,P19273,IC,TPD12S521DBTR,TI,2117,1324
Temp Warehouse,,P47898,IC,F280045PZS,TI,1934/1938,1310
Temp Warehouse,,P43064,IC,ADR421ARZ,ADI,2041/2047,1309
Temp Warehouse,,P47519,IC,LM358ADR,TI,2120/2121,1300
Temp Warehouse,,P47022,IC,CY8C20467S-24LQXI,CY,1649+,1297
Temp Warehouse,,P11953,IC,ADUC7024BSTZ62,ADI,2021,1290
Temp Warehouse,,P00555,IC,TPS5430DDAR,TI,2102,1280
Temp Warehouse,,P48012,IC,XC6SLX25-2CSG324C,XILINX,2121,1260
Temp Warehouse,,P39452,IC,ESDA18-1K,ST,2037,1258
Temp Warehouse,,67BDE457-E1F9-49D0-AEA6-078CB57322DF,IC,RSF100JB-73-4K7,Yageo,13+,1250
Temp Warehouse,,0E997AE9-F63E-4FDE-AF01-5FB455BDC970,IC,BLM41PG600SN1D,Murata,16+,1250
