Order ID,Financial Status,Paid at,Fulfillment Status,Currency,Subtotal,Total,Shipping Method,Lineitem quantity,Lineitem name,Lineitem requires shipping,Lineitem taxable,Billing Province,Billing Country,Channel Type,Channel Name,Payment Method
17,PAID,09-08-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,NY,United States,ONLINE,Squarespace,Stripe
18,PAID,09-08-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
19,PAID,09-08-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
20,PAID,09-08-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,TX,United States,ONLINE,Squarespace,Stripe
21,PAID,09-08-2023,fulfilled,USD,20,25,Standard Shipping,2,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
22,PAID,09-08-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
23,PAID,09-08-2023,fulfilled,USD,20,25,Standard Shipping,2,Art Print,TRUE,TRUE,NY,United States,ONLINE,Squarespace,Stripe
24,PAID,09-08-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,NY,United States,ONLINE,Squarespace,Stripe
26,PAID,09-09-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,NY,United States,ONLINE,Squarespace,Stripe
27,PAID,09-09-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
28,PAID,09-09-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,TX,United States,ONLINE,Squarespace,Stripe
29,PAID,09-09-2023,fulfilled,USD,200,200,Online,2,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
30,PAID,09-09-2023,fulfilled,USD,45,45,Online,3,Tour,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
31,PAID,09-09-2023,fulfilled,USD,200,200,Online,2,Course,FALSE,TRUE,NY,United States,ONLINE,Squarespace,Stripe
32,PAID,09-09-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
34,PAID,09-09-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
35,PAID,09-09-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
36,PAID,09-15-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,TX,United States,ONLINE,Squarespace,Stripe
37,PAID,09-16-2023,fulfilled,USD,40,50,Standard Shipping,2,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
38,PAID,09-16-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
39,PAID,09-16-2023,fulfilled,USD,200,200,Online,2,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
40,PAID,09-16-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
42,PAID,09-16-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,CT,United States,ONLINE,Squarespace,Stripe
43,PAID,09-17-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
44,PAID,09-17-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,TX,United States,ONLINE,Squarespace,Stripe
45,PAID,09-17-2023,fulfilled,USD,200,200,Online,2,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
46,PAID,09-17-2023,fulfilled,USD,15,15,Online,1,Tour,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
47,PAID,09-17-2023,fulfilled,USD,15,15,Online,2,Tour,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
48,PAID,09-17-2023,fulfilled,USD,15,15,Standard Shipping,1,Tour,TRUE,TRUE,CT,United States,ONLINE,Squarespace,Stripe
50,PAID,09-17-2023,fulfilled,USD,15,15,Online,1,Tour,FALSE,TRUE,RI,United States,ONLINE,Squarespace,Stripe
51,PAID,09-17-2023,fulfilled,USD,15,15,Online,1,Tour,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
52,PAID,09-17-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,TX,United States,ONLINE,Squarespace,Stripe
53,PAID,09-17-2023,fulfilled,USD,200,200,Online,2,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
54,PAID,09-17-2023,fulfilled,USD,15,15,Online,1,Tour,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
55,PAID,09-17-2023,fulfilled,USD,200,200,Online,2,Course,FALSE,TRUE,CA,United States,ONLINE,Squarespace,Stripe
56,PAID,09-19-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,CA,United States,ONLINE,Squarespace,Stripe
58,PAID,09-19-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
59,PAID,09-19-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
60,PAID,09-19-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,TX,United States,ONLINE,Squarespace,Stripe
61,PAID,09-19-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
62,PAID,09-19-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
63,PAID,09-19-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
64,PAID,09-19-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,NY,United States,ONLINE,Squarespace,Stripe
66,PAID,09-19-2023,pending,USD,100,100,Online,1,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
67,PAID,09-19-2023,pending,USD,100,100,Online,1,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
68,PAID,09-19-2023,pending,USD,100,100,Online,1,Course,FALSE,TRUE,TX,United States,ONLINE,Squarespace,Stripe
69,PAID,09-19-2023,pending,USD,200,200,Online,2,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
70,PAID,09-19-2023,pending,USD,15,15,Online,1,Tour,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
71,PAID,09-19-2023,pending,USD,45,45,Online,3,Tour,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
72,PAID,09-19-2023,pending,USD,15,15,Standard Shipping,1,Tour,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
62,PAID,09-19-2023,pending,USD,15,15,Online,1,Tour,FALSE,TRUE,CA,United States,ONLINE,Squarespace,Stripe
63,PAID,09-19-2023,pending,USD,30,30,Online,2,Tour,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
64,PAID,09-19-2023,pending,USD,15,15,Standard Shipping,1,Tour,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
66,PAID,09-19-2023,pending,USD,15,15,Online,1,Tour,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
67,PAID,09-19-2023,pending,USD,30,30,Online,2,Tour,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
68,PAID,09-20-2023,pending,USD,15,15,Online,1,Tour,FALSE,TRUE,TX,United States,ONLINE,Squarespace,Stripe
69,PAID,09-20-2023,pending,USD,30,30,Online,2,Tour,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
70,PAID,09-21-2023,pending,USD,15,15,Online,1,Tour,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
71,PAID,09-27-2023,pending,USD,30,30,Online,2,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
72,PAID,09-27-2023,pending,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
