PAYMENT RELEASE DATE,MERCADO PAGO OPERATION ID,ID,REGISTRATION TYPE,DESCRIPTION,NET AMOUNT,NET AMOUNT DEBITED,GROSS AMOUNT,MERCADO PAGO O MERCADO LIBRE FEE (INCLUDES VAT),SHIPPING COST,TAXES COLLECTED THROUGH IIBB WITHHOLDINGS,MEDIO DE PAGO,TAX DETAILS,CASH REGISTER ID,CASH REGISTER NAME,BRANCH ID,BRANCH NAME,CURRENCY,BROKEN DOWN TAXES,EXTRA DATA,REFUND ID,SALES CHANNEL,BALANCE
2023-11-12T19:34:17.000-03:00,66722242761,d961b468-ae12-4e70-8f0b-5c3e25cd8985-1699828456501,Settled money,Consumption pending confirmation,0.00,9557.00,-9557.00,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,386021.39
2023-11-12T19:34:17.000-03:00,66722242761,d961b468-ae12-4e70-8f0b-5c3e25cd8985-1699828456501,Settled money,Consumption pending confirmation,9557.00,0.00,9557.00,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,395578.39
2023-11-12T19:34:17.000-03:00,66722242761,d961b468-ae12-4e70-8f0b-5c3e25cd8985-1699828456501,Settled money,Payment,0.00,9557.00,-9500.00,0.00,0.00,-57.00,Available money,debits_credits,,,,,ARS,"[{""amount"":-57.00,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,,386021.39
2023-11-14T08:55:47.000-03:00,66976143774,f343dee4-73fe-429e-a2e1-a4bd380383cb-1699962946575,Settled money,Consumption pending confirmation,0.00,9054.00,-9054.00,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,376967.39
2023-11-14T08:55:47.000-03:00,66976143774,f343dee4-73fe-429e-a2e1-a4bd380383cb-1699962946575,Settled money,Consumption pending confirmation,9054.00,0.00,9054.00,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,386021.39
2023-11-14T08:55:47.000-03:00,66976143774,f343dee4-73fe-429e-a2e1-a4bd380383cb-1699962946575,Settled money,Payment,0.00,9054.00,-9000.00,0.00,0.00,-54.00,Available money,debits_credits,,,,,ARS,"[{""amount"":-54.00,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,,376967.39
2023-11-14T10:43:52.000-03:00,66802091031,,Settled money,Consumption pending confirmation,0.00,19184.13,-19184.13,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,357783.26
2023-11-14T10:43:52.000-03:00,66802091031,,Settled money,Consumption pending confirmation,19184.13,0.00,19184.13,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,376967.39
2023-11-14T10:43:52.000-03:00,66802091031,,Settled money,Payment,0.00,19184.13,-19069.71,0.00,0.00,-114.42,Available money,debits_credits,,,,,ARS,"[{""amount"":-114.42,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,Mercado Pago,357783.26
2023-11-14T10:46:12.000-03:00,66981474918,,Settled money,Consumption pending confirmation,0.00,17685.90,-17685.90,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,340097.36
2023-11-14T10:46:12.000-03:00,66981474918,,Settled money,Consumption pending confirmation,17685.90,0.00,17685.90,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,357783.26
2023-11-14T10:46:12.000-03:00,66981474918,,Settled money,Payment,0.00,17685.90,-17580.42,0.00,0.00,-105.48,Available money,debits_credits,,,,,ARS,"[{""amount"":-105.48,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,Mercado Pago,340097.36
2023-11-14T10:47:30.000-03:00,66981527152,,Settled money,Consumption pending confirmation,0.00,22132.00,-22132.00,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,317965.36
2023-11-14T10:47:30.000-03:00,66981527152,,Settled money,Consumption pending confirmation,22132.00,0.00,22132.00,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,340097.36
2023-11-14T10:47:30.000-03:00,66981527152,,Settled money,Payment,0.00,22132.00,-22000.00,0.00,0.00,-132.00,Available money,debits_credits,,,,,ARS,"[{""amount"":-132.00,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,Mercado Pago,317965.36
2023-11-14T10:50:36.000-03:00,66802467083,,Settled money,Consumption pending confirmation,0.00,94660.21,-94660.21,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,223305.15
2023-11-14T10:50:36.000-03:00,66802467083,,Settled money,Consumption pending confirmation,94660.21,0.00,94660.21,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,317965.36
2023-11-14T10:50:36.000-03:00,66802467083,,Settled money,Payment,0.00,94660.21,-94095.64,0.00,0.00,-564.57,Available money,debits_credits,,,,,ARS,"[{""amount"":-564.57,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,Mercado Pago,223305.15
2023-11-14T14:09:06.000-03:00,66994723564,MP-QR-401558789-af486fc1-3054-47e9-98b2-e0e282afef0f-10008TAG,Settled money,Payment,32446.20,0.00,34000.00,-329.80,0.00,-1224.00,Available money,earnings retention,330899,QR #1,30717956,Tu sucursal,ARS,"[{""amount"":-170.00,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-170.00,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-204.00,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-680.00,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""}]",{},,Mercado Pago,255751.35
2023-11-14T16:46:29.000-03:00,66824095449,e55f954e-429c-45a1-ad73-586025dcbd5c-1699991188331,Settled money,Consumption pending confirmation,0.00,14717.78,-14717.78,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,241033.57
2023-11-14T16:46:29.000-03:00,66824095449,e55f954e-429c-45a1-ad73-586025dcbd5c-1699991188331,Settled money,Consumption pending confirmation,14717.78,0.00,14717.78,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,255751.35
2023-11-14T16:46:29.000-03:00,66824095449,e55f954e-429c-45a1-ad73-586025dcbd5c-1699991188331,Settled money,Payment,0.00,14717.78,-14630.00,0.00,0.00,-87.78,Available money,debits_credits,,,,,ARS,"[{""amount"":-87.78,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,,241033.57
2023-11-15T11:48:45.000-03:00,67044554708,,Settled money,Consumption pending confirmation,0.00,6084.93,-6084.93,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,234948.64
2023-11-15T11:48:45.000-03:00,67044554708,,Settled money,Consumption pending confirmation,6084.93,0.00,6084.93,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,241033.57
2023-11-15T11:48:45.000-03:00,67044554708,,Settled money,Payment,0.00,6084.93,-6048.64,0.00,0.00,-36.29,Available money,debits_credits,,,,,ARS,"[{""amount"":-36.29,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,Mercado Pago,234948.64
2023-11-15T11:51:10.000-03:00,66864773169,,Settled money,Consumption pending confirmation,0.00,6084.93,-6084.93,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,228863.71
2023-11-15T11:51:10.000-03:00,66864773169,,Settled money,Consumption pending confirmation,6084.93,0.00,6084.93,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,234948.64
2023-11-15T11:51:10.000-03:00,66864773169,,Settled money,Payment,0.00,6084.93,-6048.64,0.00,0.00,-36.29,Available money,debits_credits,,,,,ARS,"[{""amount"":-36.29,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,Mercado Pago,228863.71
2023-11-15T13:15:07.000-03:00,67050578094,QR #T33YZ9Q,Settled money,Payment,56596.40,0.00,59306.70,-575.27,0.00,-2135.03,Available money,earnings retention,5013275,QR #T33YZ9Q,30717956,Tu sucursal,ARS,"[{""amount"":-296.53,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-296.53,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-355.84,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-1186.13,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""}]",{},,Mercado Pago,285460.11
2023-11-16T08:13:07.000-03:00,66976593230,In person sale,Settled money,Payment,59220.32,0.00,63994.30,-2470.18,0.00,-2303.80,Debit card Visa,earnings retention,330899,QR #1,30717956,Tu sucursal,ARS,"[{""amount"":-319.97,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-319.97,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-383.97,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-1279.89,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""}]","{""integration"":""none"",""is_fallback"":false,""pin_validation"":""pin_not_validated"",""was_pin"":false}",,Mercado Pago,344680.43
2023-11-16T15:14:42.000-03:00,67116451662,,Settled money,Payment,10465.20,0.00,10800.00,0.00,0.00,-334.80,Digital bank account,debits_credits,,,,,ARS,"[{""amount"":-64.80,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-270.00,""detail"":""tax_withholding_collector"",""financial_entity"":""sircupa""}]",{},,,355145.63
2023-11-16T16:15:15.000-03:00,,,Balance prior to withdrawal,pre_payout_67119490776,355145.63,0.00,355145.63,0.00,0.00,0.00,,,,,,,,,,,,355145.63
2023-11-16T16:15:18.000-03:00,67119490776,,Settled money,Reserve for payment,0.00,50300.00,-50300.00,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,304845.63
2023-11-16T16:15:22.000-03:00,67119490776,,Settled money,Reserve for payment,50300.00,0.00,50300.00,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,355145.63
2023-11-16T16:15:22.000-03:00,67119490776,LOEJWV9JMKDEPQR9QMD0GZ,Settled money,Cash withdrawal,0.00,50300.00,-50000.00,0.00,0.00,-300.00,Available money,debits_credits,,,,,ARS,"[{""amount"":-300.00,""detail"":""tax_withholding_payout"",""financial_entity"":""debitos_creditos""}]",{},,,304845.63
2023-11-16T16:15:25.000-03:00,,,Balance prior to withdrawal,post_payout_67119490776,304845.63,0.00,304845.63,0.00,0.00,0.00,,,,,,,,,,,,304845.63
2023-11-19T11:45:41.000-03:00,66988030945,In person sale,Settled money,Payment,37015.88,0.00,39999.88,-1544.00,0.00,-1440.00,Debit card Visa,earnings retention,330899,QR #1,30717956,Tu sucursal,ARS,"[{""amount"":-200.00,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-200.00,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-240.00,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-800.00,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""}]","{""integration"":""none"",""is_fallback"":false,""pin_validation"":""pin_not_validated"",""was_pin"":false}",,Mercado Pago,341861.51
2023-11-21T16:17:26.000-03:00,66184266549,In person sale,Settled money,Payment,69654.00,0.00,78000.00,-3198.00,0.00,-5148.00,Visa,debits_credits,330899,QR #1,30717956,Tu sucursal,ARS,"[{""amount"":-468.00,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-780.00,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-1560.00,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""},{""amount"":-2340.00,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""}]","{""integration"":""none"",""is_fallback"":false,""pin_validation"":""pin_not_validated"",""was_pin"":false}",,Mercado Pago,411515.51
2023-11-22T10:11:50.000-03:00,67247874367,MP-QR-401558789-94363d2a-0762-47bb-b88c-52c7a639e742-10008TAG,Settled money,Payment,31110.18,0.00,32600.00,-316.22,0.00,-1173.60,Available money,earnings retention,330899,QR #1,30717956,Tu sucursal,ARS,"[{""amount"":-163.00,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-163.00,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-195.60,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-652.00,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""}]",{},,Mercado Pago,442625.69
2023-11-22T16:31:10.000-03:00,67269798329,2e73d557-748d-4c46-983a-59348ecb769a-1700681469296,Settled money,Consumption pending confirmation,0.00,9155.68,-9155.68,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,433470.01
2023-11-22T16:31:10.000-03:00,67269798329,2e73d557-748d-4c46-983a-59348ecb769a-1700681469296,Settled money,Consumption pending confirmation,9155.68,0.00,9155.68,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,442625.69
2023-11-22T16:31:10.000-03:00,67269798329,2e73d557-748d-4c46-983a-59348ecb769a-1700681469296,Settled money,Payment,0.00,9155.68,-9101.07,0.00,0.00,-54.61,Available money,debits_credits,,,,,ARS,"[{""amount"":-54.61,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,,433470.01
2023-11-23T09:38:32.000-03:00,67486468776,,Settled money,Payment,40019.70,0.00,41300.00,0.00,0.00,-1280.30,Digital bank account,debits_credits,,,,,ARS,"[{""amount"":-247.80,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-1032.50,""detail"":""tax_withholding_collector"",""financial_entity"":""sircupa""}]",{},,,473489.71
2023-11-24T12:10:06.000-03:00,67554859194,,Settled money,Consumption pending confirmation,0.00,11619.03,-11619.03,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,461870.68
2023-11-24T12:10:06.000-03:00,67554859194,,Settled money,Consumption pending confirmation,11619.03,0.00,11619.03,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,473489.71
2023-11-24T12:10:06.000-03:00,67554859194,,Settled money,Payment,0.00,11619.03,-11549.73,0.00,0.00,-69.30,Available money,debits_credits,,,,,ARS,"[{""amount"":-69.30,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,Mercado Pago,461870.68
2023-11-25T05:29:16.000-03:00,67418440499,36dbc4f8-99a1-41cb-bfb3-06363345c3d9-1700900956139,Settled money,Consumption pending confirmation,0.00,1310.50,-1310.50,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,460560.18
2023-11-25T05:29:16.000-03:00,67418440499,36dbc4f8-99a1-41cb-bfb3-06363345c3d9-1700900956139,Settled money,Consumption pending confirmation,1310.50,0.00,1310.50,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,461870.68
2023-11-25T05:29:16.000-03:00,67418440499,36dbc4f8-99a1-41cb-bfb3-06363345c3d9-1700900956139,Settled money,Income tax withholding,0.00,561.00,-561.00,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,461309.68
2023-11-25T05:29:16.000-03:00,67418440499,36dbc4f8-99a1-41cb-bfb3-06363345c3d9-1700900956139,Settled money,Payment,0.00,749.50,-605.88,0.00,0.00,-143.62,Available money,debits_credits,,,,,ARS,"[{""amount"":-3.37,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""},{""amount"":-140.25,""detail"":""tax_withholding"",""financial_entity"":""bienes_personales""}]",{},,,460560.18
2023-11-27T03:32:10.000-03:00,67515121731,eb9d2651-a171-4578-8c9f-2a5addc5e209-1701066730099,Settled money,Consumption pending confirmation,0.00,1310.50,-1310.50,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,459249.68
2023-11-27T03:32:10.000-03:00,67515121731,eb9d2651-a171-4578-8c9f-2a5addc5e209-1701066730099,Settled money,Consumption pending confirmation,1310.50,0.00,1310.50,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,460560.18
2023-11-27T03:32:10.000-03:00,67515121731,eb9d2651-a171-4578-8c9f-2a5addc5e209-1701066730099,Settled money,Income tax withholding,0.00,561.00,-561.00,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,459999.18
2023-11-27T03:32:10.000-03:00,67515121731,eb9d2651-a171-4578-8c9f-2a5addc5e209-1701066730099,Settled money,Payment,0.00,749.50,-605.88,0.00,0.00,-143.62,Available money,debits_credits,,,,,ARS,"[{""amount"":-3.37,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""},{""amount"":-140.25,""detail"":""tax_withholding"",""financial_entity"":""bienes_personales""}]",{},,,459249.68
2023-11-27T12:55:09.000-03:00,67717210274,,Settled money,Consumption pending confirmation,0.00,16129.11,-16129.11,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,443120.57
2023-11-27T12:55:09.000-03:00,67717210274,,Settled money,Consumption pending confirmation,16129.11,0.00,16129.11,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,459249.68
2023-11-27T12:55:09.000-03:00,67717210274,,Settled money,Payment,0.00,16129.11,-16032.91,0.00,0.00,-96.20,Available money,debits_credits,,,,,ARS,"[{""amount"":-96.20,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,Mercado Pago,443120.57
2023-11-27T12:55:59.000-03:00,67717191024,,Settled money,Consumption pending confirmation,0.00,20859.81,-20859.81,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,422260.76
2023-11-27T12:55:59.000-03:00,67717191024,,Settled money,Consumption pending confirmation,20859.81,0.00,20859.81,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,Mercado Pago,443120.57
2023-11-27T12:55:59.000-03:00,67717191024,,Settled money,Payment,0.00,20859.81,-20735.40,0.00,0.00,-124.41,Available money,debits_credits,,,,,ARS,"[{""amount"":-124.41,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,Mercado Pago,422260.76
2023-11-29T02:35:34.000-03:00,67622961461,edf4fc0b-1f4f-4e03-83ef-fb59c407b6fd-1701236133777,Settled money,Consumption pending confirmation,0.00,1310.50,-1310.50,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,420950.26
2023-11-29T10:06:35.000-03:00,67525101117,In person sale,Settled money,Payment,65005.03,0.00,70245.34,-2711.47,0.00,-2528.84,Debit card Visa,earnings retention,330899,QR #1,30717956,Tu sucursal,ARS,"[{""amount"":-351.23,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-351.23,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-421.47,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-1404.91,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""}]","{""integration"":""none"",""is_fallback"":false,""pin_validation"":""pin_not_validated"",""was_pin"":false}",,Mercado Pago,485955.29
