MONTH,YEAR,order_id,billing_state,billing_country,referring_platform,marketing_campaign_source,product_type,product_title, Gross Sale of Products , Customer Shipping Payment , TOTAL GROSS ORDER SALES , gross_profit ,gross_profit margin
JANUARY,2020,2049737556050,Maryland,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2050313945170,Washington,United States,meta,,Door Knockers,Baphomet Door Knocker, $35.00 , $-   , $35.00 , $18.30 ,52%
JANUARY,2020,2050313945170,Washington,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2051460268114,Oregon,United States,meta,,Curio Boxes,Skull Curio Box, $38.75 , $-   , $38.75 , $11.75 ,30%
JANUARY,2020,2051460268114,Oregon,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2051469443154,Oregon,United States,meta,,Tabletop & Statuary,Dragon Skull, $35.00 , $-   , $35.00 , $12.49 ,36%
JANUARY,2020,2051469443154,Oregon,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2056162181202,California,United States,direct,,Wall Art & Decor,Bat Pentagram, $36.50 , $-   , $36.50 , $9.06 ,25%
JANUARY,2020,2056162181202,California,United States,direct,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2057394815058,Texas,United States,meta,,Tabletop & Statuary,Bloody Vampire Skull, $35.00 , $-   , $35.00 , $17.00 ,49%
JANUARY,2020,2057394815058,Texas,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2059197120594,Ohio,United States,direct,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2059197120594,Ohio,United States,direct,,Tabletop & Statuary,Baphomet Statue, $33.00 , $-   , $33.00 , $8.82 ,27%
JANUARY,2020,2059880628306,Louisiana,United States,direct,,wallet,Spirit Board Wallet, $30.00 , $-   , $30.00 , $10.00 ,33%
JANUARY,2020,2059880628306,Louisiana,United States,direct,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2059905663058,Ohio,United States,alphabet,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2059905663058,Ohio,United States,alphabet,,Tabletop & Statuary,Horror Statuary - Jason, $15.00 , $-   , $15.00 , $4.00 ,27%
JANUARY,2020,2060488474706,New York,United States,meta,Facebook,Tabletop & Statuary,Silver Skull, $32.50 , $-   , $32.50 , $14.50 ,45%
JANUARY,2020,2060488474706,New York,United States,meta,Facebook,Tabletop & Statuary,Dracula Skull, $33.00 , $-   , $33.00 , $12.25 ,37%
JANUARY,2020,2060488474706,New York,United States,meta,Facebook,,, $-   , $7.91 , $7.91 , $-   ,0%
JANUARY,2020,2060925304914,Kentucky,United States,meta,Facebook,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2060925304914,Kentucky,United States,meta,Facebook,Tabletop & Statuary,Poe Raven Skull, $32.75 , $-   , $32.75 , $11.50 ,35%
JANUARY,2020,2063081144402,Florida,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2063081144402,Florida,United States,meta,,wallet,Spirit Board Wallet, $30.00 , $-   , $30.00 , $10.00 ,33%
JANUARY,2020,2067721945170,Massachusetts,United States,alphabet,google,Tabletop & Statuary,Baphomet Statue, $33.00 , $-   , $33.00 , $8.82 ,27%
JANUARY,2020,2067721945170,Massachusetts,United States,alphabet,google,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2067996016722,New York,United States,meta,,,, $-   , $9.28 , $9.28 , $-   ,0%
JANUARY,2020,2067996016722,New York,United States,meta,,Candle Holders,Skull Tealight Holder, $15.00 , $-   , $15.00 , $6.25 ,42%
JANUARY,2020,2067996016722,New York,United States,meta,,Tabletop & Statuary,Large Spirit Board Skull, $39.00 , $-   , $39.00 , $11.00 ,28%
JANUARY,2020,2067996016722,New York,United States,meta,,skull,Biohazard Skull, $34.00 , $-   , $34.00 , $14.00 ,41%
JANUARY,2020,2069540274258,Michigan,United States,direct,,Door Knockers,Baphomet Door Knocker, $35.00 , $-   , $35.00 , $18.30 ,52%
JANUARY,2020,2069540274258,Michigan,United States,direct,,,, $-   , $-   , $-   , $-   ,0%
JANUARY,2020,2069540274258,Michigan,United States,direct,,Doormats,Baphomet Doormat, $45.00 , $-   , $45.00 , $11.34 ,25%
JANUARY,2020,2069540274258,Michigan,United States,direct,,bedding,Spirit Board Blanket, $45.00 , $-   , $45.00 , $17.25 ,38%
JANUARY,2020,2069994635346,Nevada,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2069994635346,Nevada,United States,meta,,Tabletop & Statuary,Poe Raven Skull, $32.75 , $-   , $32.75 , $11.50 ,35%
JANUARY,2020,2070633414738,Ohio,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2070633414738,Ohio,United States,meta,,Wall Art & Decor,Bat Pentagram, $36.50 , $-   , $36.50 , $9.06 ,25%
JANUARY,2020,2071108059218,New York,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
JANUARY,2020,2071108059218,New York,United States,meta,,Tabletop & Statuary,Dracula Skull, $33.00 , $-   , $33.00 , $12.25 ,37%
JANUARY,2020,2071108059218,New York,United States,meta,,skull,Biohazard Skull, $34.00 , $-   , $34.00 , $14.00 ,41%
JANUARY,2020,2071343693906,California,United States,direct,,Tabletop & Statuary,Poe Raven Skull, $32.75 , $-   , $32.75 , $11.50 ,35%
JANUARY,2020,2071343693906,California,United States,direct,,Candle Holders,Black Lattice Lantern, $27.75 , $-   , $27.75 , $8.96 ,32%
JANUARY,2020,2071343693906,California,United States,direct,,,, $-   , $-   , $-   , $-   ,0%
JANUARY,2020,2072477204562,Georgia,United States,abandoned_cart,abandoned_cart,bedding,Spirit Board Blanket, $45.00 , $-   , $40.50 , $12.75 ,31%
JANUARY,2020,2072477204562,Georgia,United States,abandoned_cart,abandoned_cart,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2072575180882,Florida,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2072575180882,Florida,United States,meta,,Tabletop & Statuary,Zombie Pen/Pencil Holder, $13.80 , $-   , $13.80 , $3.74 ,27%
JANUARY,2020,2074048036946,Texas,United States,meta,Facebook,Tabletop & Statuary,Zombie Pen/Pencil Holder, $13.80 , $-   , $13.80 , $3.74 ,27%
JANUARY,2020,2074048036946,Texas,United States,meta,Facebook,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2075729756242,Idaho,United States,direct,,Tabletop & Statuary,"Gargoyle Statue-9.45""", $40.00 , $-   , $40.00 , $10.00 ,25%
JANUARY,2020,2075729756242,Idaho,United States,direct,,,, $-   , $7.00 , $7.00 , $-   ,0%
JANUARY,2020,2076002123858,California,United States,meta,,Wall Art & Decor,Bat Pentagram, $36.50 , $-   , $36.50 , $9.06 ,25%
JANUARY,2020,2076002123858,California,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JANUARY,2020,2076238872658,Ohio,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
JANUARY,2020,2076238872658,Ohio,United States,meta,,Wall Art & Decor,Bat Pentagram, $36.50 , $-   , $36.50 , $9.06 ,25%
JANUARY,2020,2076653879378,Florida,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
JANUARY,2020,2076653879378,Florida,United States,alphabet,google,Door Knockers,Baphomet Door Knocker, $35.00 , $-   , $35.00 , $18.30 ,52%
FEBRUARY,2020,2044809412690,California,United States,meta,Facebook,,, $-   , $-   , $(100.00), $-   ,0%
FEBRUARY,2020,2079265751122,New Jersey,United States,alphabet,google,Door Knockers,Dragon Door Knocker, $33.00 , $-   , $33.00 , $16.74 ,51%
FEBRUARY,2020,2079265751122,New Jersey,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
FEBRUARY,2020,2080804372562,Pennsylvania,United States,meta,,Tabletop & Statuary,Hell's Desire Skull, $35.00 , $-   , $35.00 , $15.00 ,43%
FEBRUARY,2020,2080804372562,Pennsylvania,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
FEBRUARY,2020,2080804372562,Pennsylvania,United States,meta,,Tabletop & Statuary,Dracula Skull, $33.00 , $-   , $33.00 , $12.25 ,37%
FEBRUARY,2020,2080942325842,New York,United States,alphabet,,,, $-   , $-   , $-   , $-   ,0%
FEBRUARY,2020,2080942325842,New York,United States,alphabet,,Tabletop & Statuary,Dracula Skull, $33.00 , $-   , $33.00 , $12.25 ,37%
FEBRUARY,2020,2080942325842,New York,United States,alphabet,,Spirit Board,Spiritus Colloquium Spirit Board Set, $100.00 , $-   , $100.00 , $40.00 ,40%
FEBRUARY,2020,2080974569554,New York,United States,direct,,,, $-   , $7.00 , $7.00 , $-   ,0%
FEBRUARY,2020,2080974569554,New York,United States,direct,,Wall Art & Decor,Bat Pentagram, $36.50 , $-   , $36.50 , $9.06 ,25%
FEBRUARY,2020,2081364443218,Alabama,United States,alphabet,,Candle Holders,Bat Candle Holder, $23.50 , $-   , $23.50 , $4.50 ,19%
FEBRUARY,2020,2081364443218,Alabama,United States,alphabet,,coffee mug,Every Day Is Halloween Mug, $20.00 , $-   , $20.00 , $5.51 ,28%
FEBRUARY,2020,2081364443218,Alabama,United States,alphabet,,Towel,Skull Hand Towel, $10.00 , $-   , $10.00 , $1.00 ,10%
FEBRUARY,2020,2081364443218,Alabama,United States,alphabet,,,, $-   , $-   , $-   , $-   ,0%
FEBRUARY,2020,2083878633554,New York,United States,meta,,Tabletop & Statuary,Dracula Skull, $33.00 , $-   , $33.00 , $12.25 ,37%
FEBRUARY,2020,2083878633554,New York,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
FEBRUARY,2020,2084408557650,Washington,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
FEBRUARY,2020,2084408557650,Washington,United States,meta,,Tabletop & Statuary,Steampunk Raven on Skull, $28.00 , $-   , $28.00 , $8.00 ,29%
FEBRUARY,2020,2084606050386,Indiana,United States,subscribe-it,subscribe-it,Tabletop & Statuary,Horror Statuary - Michael Myers, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2084606050386,Indiana,United States,subscribe-it,subscribe-it,Tabletop & Statuary,Horror Statuary - Jason, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2084606050386,Indiana,United States,subscribe-it,subscribe-it,,, $-   , $-   , $-   , $-   ,0%
FEBRUARY,2020,2084606050386,Indiana,United States,subscribe-it,subscribe-it,Tabletop & Statuary,Horror Statue - Monster Stitch, $23.00 , $-   , $23.00 , $5.00 ,22%
FEBRUARY,2020,2084696621138,Arizona,United States,subscribe-it,subscribe-it,,, $-   , $7.00 , $7.00 , $-   ,0%
FEBRUARY,2020,2084696621138,Arizona,United States,subscribe-it,subscribe-it,Door Knockers,Wolf Door Knocker, $25.00 , $-   , $25.00 , $10.00 ,40%
FEBRUARY,2020,2084893491282,Minnesota,United States,subscribe-it,subscribe-it,,, $-   , $-   , $-   , $-   ,0%
FEBRUARY,2020,2084893491282,Minnesota,United States,subscribe-it,subscribe-it,Tabletop & Statuary,Grim Reaper, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2084893491282,Minnesota,United States,subscribe-it,subscribe-it,Tabletop & Statuary,Trick 'r Treat Sam, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2084893491282,Minnesota,United States,subscribe-it,subscribe-it,Tabletop & Statuary,Chucky, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2084893491282,Minnesota,United States,subscribe-it,subscribe-it,Tabletop & Statuary,Dr. Hannibal Lecter, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2084943396946,Michigan,United States,meta,,Door Knockers,Baphomet Door Knocker, $35.00 , $-   , $35.00 , $15.00 ,43%
FEBRUARY,2020,2084943396946,Michigan,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
FEBRUARY,2020,2085565890642,North Carolina,United States,alphabet,,,, $-   , $7.00 , $7.00 , $-   ,0%
FEBRUARY,2020,2085565890642,North Carolina,United States,alphabet,,Tabletop & Statuary,Horror Statuary - Jason, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2086632751186,Washington,United States,subscribe-it,subscribe-it,Tabletop & Statuary,Horror Statuary - Freddy, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2086632751186,Washington,United States,subscribe-it,subscribe-it,,, $-   , $7.00 , $7.00 , $-   ,0%
FEBRUARY,2020,2086632751186,Washington,United States,subscribe-it,subscribe-it,Tabletop & Statuary,Dr. Hannibal Lecter, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2087817412690,California,United States,meta,,Candle Holders,Gargoyle Candle Holder, $28.50 , $-   , $28.50 , $-   ,0%
FEBRUARY,2020,2087817412690,California,United States,meta,,Tabletop & Statuary,"See, Hear, Speak No Evil Goblins", $25.00 , $-   , $25.00 , $6.40 ,26%
FEBRUARY,2020,2087817412690,California,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
FEBRUARY,2020,2088237662290,Ohio,United States,meta,,Candle Holders,Black Lattice Lantern, $55.50 , $-   , $55.50 , $17.92 ,32%
FEBRUARY,2020,2088237662290,Ohio,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
FEBRUARY,2020,2088369717330,Texas,United States,direct,,,, $-   , $7.00 , $7.00 , $-   ,0%
FEBRUARY,2020,2088369717330,Texas,United States,direct,,Tabletop & Statuary,Baphomet Statue, $33.00 , $-   , $33.00 , $8.82 ,27%
FEBRUARY,2020,2090974052434,Colorado,United States,subscribe-it,subscribe-it,,, $-   , $7.00 , $7.00 , $-   ,0%
FEBRUARY,2020,2090974052434,Colorado,United States,subscribe-it,subscribe-it,Tabletop & Statuary,"See No, Hear No, Speak No Skeletons", $16.00 , $-   , $16.00 , $4.68 ,29%
FEBRUARY,2020,2091153817682,South Carolina,United States,direct,,Tabletop & Statuary,Horror Statuary - Pinhead, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2091153817682,South Carolina,United States,direct,,Tabletop & Statuary,Dr. Hannibal Lecter, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2091153817682,South Carolina,United States,direct,,Tabletop & Statuary,Monster & Bride, $19.00 , $-   , $19.00 , $4.00 ,21%
FEBRUARY,2020,2091153817682,South Carolina,United States,direct,,Tabletop & Statuary,Horror Statuary - Jason, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2091153817682,South Carolina,United States,direct,,,, $-   , $-   , $-   , $-   ,0%
FEBRUARY,2020,2091153817682,South Carolina,United States,direct,,Tabletop & Statuary,Maleficent, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2092126666834,Arizona,United States,alphabet,google,Candle Holders,Skull Tealight Holder, $15.00 , $-   , $15.00 , $6.25 ,42%
FEBRUARY,2020,2092126666834,Arizona,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
FEBRUARY,2020,2095302738002,Iowa,United States,alphabet,,,, $-   , $9.99 , $9.99 , $-   ,0%
FEBRUARY,2020,2095302738002,Iowa,United States,alphabet,,Candle Holders,Bat Candle Holder, $11.75 , $-   , $11.75 , $2.25 ,19%
FEBRUARY,2020,2096476913746,Alabama,United States,meta,,Tabletop & Statuary,"Gargoyle Statue-9.45""", $40.00 , $-   , $40.00 , $10.00 ,25%
FEBRUARY,2020,2096476913746,Alabama,United States,meta,,Candle Holders,Skull Tealight Holder, $30.00 , $-   , $30.00 , $12.50 ,42%
FEBRUARY,2020,2096476913746,Alabama,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
FEBRUARY,2020,2096476913746,Alabama,United States,meta,,Tabletop & Statuary,"See, Hear, Speak No Evil Goblins", $25.00 , $-   , $25.00 , $6.40 ,26%
FEBRUARY,2020,2096755310674,New York,United States,direct,,,, $-   , $-   , $-   , $-   ,0%
FEBRUARY,2020,2096755310674,New York,United States,direct,,Tabletop & Statuary,Dragon Skull, $35.00 , $-   , $35.00 , $12.49 ,36%
FEBRUARY,2020,2096755310674,New York,United States,direct,,Tabletop & Statuary,Hell's Desire Skull, $35.00 , $-   , $35.00 , $15.00 ,43%
FEBRUARY,2020,2098441355346,South Carolina,United States,meta,,Tabletop & Statuary,Monster & Bride, $19.00 , $-   , $19.00 , $4.00 ,21%
FEBRUARY,2020,2098441355346,South Carolina,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
FEBRUARY,2020,2098441355346,South Carolina,United States,meta,,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $35.00 , $7.00 ,20%
FEBRUARY,2020,2098808946770,New Jersey,United States,meta,,,, $-   , $7.00 , $7.00 , $-   ,0%
FEBRUARY,2020,2098808946770,New Jersey,United States,meta,,Tabletop & Statuary,Poe Raven Skull, $32.75 , $-   , $32.75 , $11.50 ,35%
FEBRUARY,2020,2099018596434,South Carolina,United States,meta,Facebook,Tabletop & Statuary,"See, Hear, Speak No Evil Goblins", $25.00 , $-   , $22.50 , $3.90 ,17%
FEBRUARY,2020,2099018596434,South Carolina,United States,meta,Facebook,,, $-   , $-   , $-   , $-   ,0%
FEBRUARY,2020,2099018596434,South Carolina,United States,meta,Facebook,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $31.50 , $3.50 ,11%
FEBRUARY,2020,2099233587282,Colorado,United States,alphabet,google,Doormats,Spirit Board Doormat, $38.00 , $-   , $38.00 , $16.00 ,42%
FEBRUARY,2020,2099233587282,Colorado,United States,alphabet,google,,, $-   , $7.00 , $7.00 , $-   ,0%
FEBRUARY,2020,2099343327314,Washington,United States,subscribe-it,subscribe-it,Tabletop & Statuary,Horror Statuary - Pennywise, $15.00 , $-   , $15.00 , $4.00 ,27%
FEBRUARY,2020,2099343327314,Washington,United States,subscribe-it,subscribe-it,,, $-   , $7.00 , $7.00 , $-   ,0%
