,Date,Type_Invoice,POS,Numbers_from,Numbers_to,TYPE_ID,Number_ID,Name,Amount_Exchange,Currency_ Exchange,Net Taxable,No Taxable,Exempt,VAT,Total
128,30/11/2023,1 - Invoice A,5,595575,,CUIT,30693184947,M S C S A,1,$,0,371640,0,0,371640
129,30/11/2023,1 - Invoice A,1107,1853,,CUIT,30697754063,P S S A,1,$,"671627,93",0,0,"141041,87","812669,8"
130,30/11/2023,1 - Invoice A,2,12441,,CUIT,33713951809,P W L Y D M S S,1,$,"707267,7",0,0,"148526,21","855793,91"
131,30/11/2023,1 - Invoice A,3,1411,,CUIT,30649821867,N Y S,1,$,"64575,33",0,0,"13560,82","78136,14"
132,30/11/2023,1 - Invoice A,3,10507,,CUIT,30711166927,F W L S,1,$,"59331,43",0,0,"12459,6","71791,03"
133,30/11/2023,1 - Invoice A,3,1410,,CUIT,30649821867,N Y S,1,$,"64575,33",0,0,"13560,82","78136,14"
134,30/11/2023,1 - Invoice A,11,3367026,,CUIT,30703088534,M S 1,1,$,"15013871,38",0,0,"3152912,99","26833000,12"
135,30/11/2023,2 - Debit Memo A,11,234764,,CUIT,30703088534,M S 1,1,$,"15939,67",0,0,"3347,33",19287
136,30/11/2023,3 - Credit Memo A,11,1492503,,CUIT,30703088534,M S 1,1,$,"224731,18",0,0,"47193,55","271924,73"
137,30/11/2023,3 - Credit Memo A,11,1492504,,CUIT,30703088534,M S 1,1,$,"199695,88",0,0,"41936,14","264621,34"
