Date,Type,Airbnb Account ID,Payout ID,Confirmation Code,Start Date,Nights,Guest,Listing,Internal Listing Name,Listing ID,Details,Reference,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Gross Earnings,Occupancy Taxes,Earnings Year
07/30/2023,Co-Host payout,249736733,,HMTCRXRPFD,07/29/2023,3,Guest 15,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-72.75,,,0,,-8.56,
07/26/2023,Co-Host payout,249736733,,HMRWAFM39Q,07/25/2023,3,Guest 16,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-57.08,,,0,,-6.72,
07/26/2023,Pass Through Tot,249736733,,HMRWAFM39Q,07/25/2023,3,Guest 16,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,"Jul 25 – 28, 2023 HMRWAFM39Q",,USD,26.86,,0,0,26.86,0,
07/26/2023,Reservation,249736733,,HMRWAFM39Q,07/25/2023,3,Guest 16,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,570.79,,100.73,160,671.52,67.15,
07/20/2023,Co-Host payout,249736733,,HMM3RBWBX8,07/19/2023,5,Guest 17,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-110.3,,,0,,-12.98,
07/20/2023,Reservation,249736733,,HMM3RBWBX8,07/19/2023,5,Guest 17,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,1102.96,,194.64,150,1297.6,129.76,
07/15/2023,Reservation,249736733,,HMHFTNY98W,07/14/2023,2,Guest 18,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,596.53,,105.27,145,701.8,70.18,
07/15/2023,Co-Host payout,249736733,,HMHFTNY98W,07/14/2023,2,Guest 18,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-59.65,,,0,,-7.02,
07/08/2023,Pass Through Tot,249736733,,HMSW2FPDRZ,07/07/2023,2,Guest 19,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,"Jul 7 – 9, 2023 HMSW2FPDRZ",,USD,26.5,,0,0,26.5,0,
07/08/2023,Reservation,249736733,,HMSW2FPDRZ,07/07/2023,2,Guest 19,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,563.02,,99.36,150,662.38,66.24,
07/08/2023,Co-Host payout,249736733,,HMSW2FPDRZ,07/07/2023,2,Guest 19,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-56.3,,,0,,-6.62,
07/04/2023,Co-Host payout,249736733,,HM4M8FCEQC,07/03/2023,4,Guest 20,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-70.81,,,0,,-8.33,
07/04/2023,Reservation,249736733,,HM4M8FCEQC,07/03/2023,4,Guest 20,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,708.09,,124.96,150,833.05,83.3,
06/28/2023,Reservation,249736733,,HM3MEFCBQ4,06/27/2023,5,Guest 21,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,1026.89,,181.21,160,1208.1,120.81,
06/28/2023,Co-Host payout,249736733,,HM3MEFCBQ4,06/27/2023,5,Guest 21,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-102.69,,,0,,-12.08,
06/19/2023,Co-Host payout,249736733,,HMTHHDMEFT,06/18/2023,7,Guest 22,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-171.47,,,0,,-20.17,
06/19/2023,Reservation,249736733,,HMTHHDMEFT,06/18/2023,7,Guest 22,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,1714.66,,302.59,150,2017.25,201.73,
06/17/2023,Resolution Adjustment,249736733,,HMYYENYKZW,06/16/2023,2,Guest 23,Charming & Cozy 3bd 2.5 bath near Park Circle,,712254237686473161,Resolution adjustment for resolution 29877082,,USD,-281.3,,,,-281.3,,
06/17/2023,Reservation,249736733,,HMYYENYKZW,06/16/2023,2,Guest 23,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,601.46,,106.14,145,707.6,70.76,
06/17/2023,Co-Host payout,249736733,,HMYYENYKZW,06/16/2023,2,Guest 23,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-60.15,,,0,,-7.08,
06/13/2023,Co-Host payout,249736733,,HMPCHDPKHC,06/12/2023,4,Guest 24,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-63.65,,,0,,-7.49,
06/13/2023,Reservation,249736733,,HMPCHDPKHC,06/12/2023,4,Guest 24,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,636.48,,112.32,160,748.8,74.88,
06/09/2023,Reservation,249736733,,HMYADQ2XNX,06/08/2023,3,Guest 25,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,747.69,,131.94,150,879.63,87.96,
06/09/2023,Co-Host payout,249736733,,HMYADQ2XNX,06/08/2023,3,Guest 25,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-74.77,,,0,,-8.8,
06/03/2023,Co-Host payout,249736733,,HMHSD9D4DN,06/02/2023,3,Guest 26,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-79.21,,,0,,-9.32,
06/03/2023,Reservation,249736733,,HMHSD9D4DN,06/02/2023,3,Guest 26,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,792.05,,139.77,150,931.82,93.19,
05/26/2023,Reservation,249736733,,HMMRTEYZHT,05/25/2023,4,Guest 27,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,1135.04,,200.3,150,1335.34,133.54,
05/20/2023,Reservation,249736733,,HMHZTH3YYF,05/19/2023,2,Guest 28,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,546.98,,96.52,0,643.5,64.35,
05/18/2023,Reservation,249736733,,HMQ4NHBFFD,05/17/2023,2,Guest 29,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,357.85,,63.15,145,421,42.1,
05/13/2023,Reservation,249736733,,HMD22NMZQ8,05/12/2023,2,Guest 30,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,663,,117,170,780,78,
05/06/2023,Reservation,249736733,,HME5AWMCRN,05/05/2023,2,Guest 31,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,713.59,,125.93,145,839.52,83.95,
04/30/2023,Reservation,249736733,,HMEFCX9PRZ,04/29/2023,1,Guest 32,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,318.75,,56.25,145,375,37.5,
04/24/2023,Reservation,249736733,,HMDFKFR8C5,04/23/2023,6,Guest 33,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,865.71,,152.77,150,1018.48,101.85,
04/21/2023,Reservation,249736733,,HMSX58J2ND,04/20/2023,3,Guest 34,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,751.88,,132.69,50,884.57,88.46,
04/15/2023,Reservation,249736733,,HMCEMJXYBE,04/14/2023,3,Guest 35,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,946.27,,166.99,50,1113.26,111.33,
04/07/2023,Reservation,249736733,,HM3XW2RJAA,04/06/2023,3,Guest 36,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,637.5,,112.5,0,750,75,
04/04/2023,Reservation,249736733,,HMEJXKZYPY,04/03/2023,3,Guest 37,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,581.91,,102.69,150,684.6,68.46,
04/01/2023,Reservation,249736733,,HMNPNWQXWM,03/31/2023,2,Guest 38,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,602.23,,106.27,65,708.5,70.85,
03/25/2023,Reservation,249736733,,HMHX4HD4QM,03/24/2023,2,Guest 39,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,532.25,,93.93,50,626.18,62.61,
03/21/2023,Reservation,249736733,,HMP3ACJYD2,03/20/2023,2,Guest 40,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,364.11,,64.25,145,428.36,42.84,
03/18/2023,Reservation,249736733,,HMD9EDE5PT,03/17/2023,2,Guest 41,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,551.9,,97.4,85,649.3,64.93,
03/10/2023,Reservation,249736733,,HMQRD3YEM8,03/09/2023,3,Guest 42,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,692.84,,122.26,0,815.1,81.51,
03/04/2023,Reservation,249736733,,HMPAMBZHXZ,03/03/2023,2,Guest 43,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,422.45,,74.55,65,497,49.7,
02/28/2023,Reservation,249736733,,HM4ZQANYWC,02/27/2023,4,Guest 44,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,489.6,,86.4,90,576,57.6,
02/27/2023,Cancellation Fee Refund,249736733,,HMWPHX3BR8,02/26/2023,2,Guest 45,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,160.99,,0,0,,0,
02/26/2023,Cancellation Fee,249736733,,HMWPHX3BR8,02/26/2023,2,Guest 45,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-160.99,,0,0,,0,
02/24/2023,Reservation,249736733,,HMHTECE2AQ,02/23/2023,3,Guest 46,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,594.8,,104.96,70,699.76,69.98,
02/18/2023,Reservation,249736733,,HMXFQTEMZJ,02/17/2023,4,Guest 47,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,747,,131.82,0,878.82,87.89,
02/15/2023,Reservation,249736733,,HMX49ZXAZ2,02/14/2023,2,Guest 48,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,248.1,,43.78,65,291.88,29.19,
02/12/2023,Reservation,249736733,,HMBPT89FCK,02/11/2023,2,Guest 49,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,339.15,,59.85,0,399,39.9,
02/06/2023,Reservation,249736733,,HMP2NJ9QRZ,02/05/2023,6,Guest 50,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,425,,75,0,500,50,
02/04/2023,Reservation,249736733,,HM25NWABPS,02/03/2023,2,Guest 51,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,233.04,,41.12,0,274.16,27.41,
01/20/2023,Reservation,249736733,,HMTRER8ANM,01/19/2023,1,Guest 52,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,8.5,,1.5,0,10,1,
