DATE_2018,VAT_2018,GROSS_TOTAL_2018,NET_2018,DATE_2019,VAT_2019,GROSS_TOTAL_2019,NET_2019,DATE_2020,VAT_2020,GROSS_TOTAL_2020,NET_2020,DATE_2021,VAT_2021,GROSS_TOTAL_2021,NET_2021,DATE_2022,GROSS_TOTAL_2022
16-feb,"986,61","5684,8",10/11/1912,16/2/2109,"3405,78","19623,7",25-may,16-feb,"2466,67","14212,5",26-feb,16-feb,"3231,82","18791,5",,16-feb,50371
17-feb,"1459,45","8409,3",9/1/1919,17/2/2109,"2470,96","14237,55",18-mar,17-feb,"2858,4","16469,7",6-abr,17-feb,"3279,28",19150,,17-feb,"97213,41"
18-feb,"581,66","3351,6",31/7/1907,18/2/2109,"2094,91","12070,6",23-abr,18-feb,"2040,02","11754,5",5-ago,18-feb,"2548,38","14683,5",,18-feb,"68721,42"
19-feb,"1438,9","8290,5",3/10/1918,19/2/2109,"2217,61","12777,5",27-nov,19-feb,"1634,05","9415,15",20-abr,19-feb,"2226,51",12829,,19-feb,"114135,62"
20-feb,"1048,74","6042,65",1/9/1913,20/2/2109,"1750,48","10086,25",26-oct,20-feb,"1880,95","10837,95",9-jul,20-feb,"4240,83",24485,,20-feb,"76190,81"
21-feb,"968,64","5581,37",16/8/1912,21/2/2109,"2073,52","11947,5",11-ene,21-feb,"1207,33","6956,45",27-sept,21-feb,"2332,56",13440,,21-feb,"88097,51"
22-feb,"1420,21","8183,1",6/7/1918,22/2/2109,"1126,8","6492,5",8-sept,22-feb,"2411,53","13895,1",9-jun,22-feb,"1850,11",10915,,22-feb,91205
23-feb,"720,1","4149,12",21/5/1909,23/2/2109,"2117,7",12202,10-ago,23-feb,"1218,52","7021,02",19-nov,23-feb,"2613,88",15061,,23-feb,"131480,99"
24-feb,"1492,34","8598,65",15/6/1919,24/2/2109,"1617,35",9319,30-ene,24-feb,"913,01","5260,7",25-nov,24-feb,"2921,1",16831,,24-feb,"130775,7"
25-feb,"1695,97","9772,05",9/2/1922,25/2/2109,"1107,48","6381,2",8-jun,25-feb,"1611,11",9283,31-dic,25-feb,"2420,18",13945,,25-feb,"85919,3"
26-feb,"1864,31","10741,8",20/4/1924,26/2/2109,"2157,17","12429,3",14-feb,26-feb,"1791,93","10324,8",11-may,26-feb,"3245,61",18786,,26-feb,"95816,53"
27-feb,"1318,9","7599,44",11/3/1917,27/2/2109,"988,89",5698,21-nov,27-feb,"1661,9","9575,75",30-ago,27-feb,"4803,91","27764,5",,27-feb,"128614,51"
28-feb,"19634,32","113131,2",24/12/2155,28/2/2109,"3525,46","20313,3",16-dic,28-feb,"1119,79",6452,6-ago,28-feb,"4790,35","27856,5",,28-feb,92871
,,,,,,,,29-feb,"5310,58",30739,13-ago,,,,,,
1-mar,"1831,27","10551,62",,1-mar,"1003,17","5780,2",,1-mar,"1252,02",7424,22-nov,1-mar,"2196,88",12658,,1-mar,12130
2-mar,"2667,73","15371,1",,2-mar,"2114,29","12182,55",,2-mar,"2242,23","12919,5",25-mar,2-mar,"2063,75",11891,,2-mar,"27816,5"
3-mar,"1232,53","7101,62",,3-mar,"1390,14","8009,8",,3-mar,"2098,46",12231,27-sept,3-mar,"3009,22",17339,,3-mar,"21735,5"
4-mar,"2260,88","13026,9",,4-mar,"763,99",4402,,4-mar,"1618,31","9324,45",4-feb,4-mar,"2980,35","17342,5",,4-mar,"34027,5"
5-mar,"1444,49",8323,,5-mar,"1079,08","6217,5",,5-mar,"1796,08","10348,85",31-may,5-mar,"4265,95",24580,,5-mar,95078
6-mar,"1180,66","6802,85",,6-mar,"1022,15","5889,5",,6-mar,"2416,02","13920,81",30-jun,6-mar,"3397,32",19575,,6-mar,41355
7-mar,"991,51","5712,95",,7-mar,"783,77",4516,,7-mar,"2637,12","15194,75",18-may,7-mar,"6636,2","36508,5",,7-mar,41947
8-mar,"1018,51","5868,5",,8-mar,"1255,91","7236,4",,8-mar,"1966,63","11331,5",20-ago,8-mar,"3579,81","20626,5",,8-mar,29999
9-mar,"787,34","4536,62",,9-mar,"1298,28","7480,6",,9-mar,"1317,44",7591,4-mar,9-mar,"4175,17",24057,,9-mar,77417
10-mar,"1129,26","6506,72",,10-mar,"1929,63","11118,2",,10-mar,"1662,65",9650,12-nov,10-mar,"3310,53","19074,9",,10-mar,64288
11-mar,"1240,79","7149,25",,11-mar,"966,37",5568,,11-mar,"1311,86","7558,61",5-feb,11-mar,"3164,32","18232,5",,11-mar,25651
12-mar,"640,48","3690,49",,12-mar,"1093,23",6299,,12-mar,"2009,58","11579,02",13-mar,12-mar,"5334,67","30737,75",,12-mar,113643
13-mar,"663,3","3821,85",,13-mar,"1403,9",8089,,13-mar,"2399,05",13893,19-jun,13-mar,"4153,78","23933,7",,13-mar,79049
14-mar,"1575,2","9076,23",,14-mar,"961,21","5538,38",,14-mar,"2187,49",12604,7-jul,14-mar,"4977,82","28682,05",,14-mar,61124
15-mar,"1166,54","6721,5",,15-mar,"1080,71",6227,,15-mar,"3675,62","21178,5",1-dic,15-mar,"3161,73","18387,6",,15-mar,36925
16-mar,"1611,34","9284,42",,16-mar,"1157,5","6669,25",,16-mar,"1862,38","10730,8",11-abr,16-mar,"2285,17",13422,,16-mar,"76106,5"
17-mar,"1360,75","7840,66",,17-mar,"1096,45","6317,5",,17-mar,"2303,95",13485,11-ago,17-mar,"3244,88","18951,7",,17-mar,71960
18-mar,"921,35","5308,85",,18-mar,"987,45","5689,5",,18-mar,"2884,44",16620,8-ago,18-mar,"3242,47",18938,,18-mar,"35954,6"
19-mar,"862,82","4971,55",,19-mar,"1083,65","6243,8",,19-mar,"10942,47","63259,66",27-mar,19-mar,"4499,2",25924,,19-mar,"81898,5"
20-mar,"1129,16",6506,,20-mar,"1837,35","10586,5",,20-mar,"4178,28",24425,6-jun,20-mar,"5966,43","34378,04",,20-mar,"76883,5"
21-mar,"822,83","4741,2",,21-mar,"2258,58","13013,54",,21-mar,4377,"25219,7",22-ene,21-mar,"2690,75",15504,,21-mar,58540
22-mar,"1156,95","6666,35",,22-mar,"1502,27","8656,1",,22-mar,"4282,26","24744,01",7-ene,22-mar,"5288,63","30727,56",,22-mar,"51793,02"
23-mar,"13911,6","2414,44",,23-mar,1966,"11327,9",,23-mar,"4699,39","27077,5",7-abr,23-mar,"6378,62",36753,,23-mar,66750
24-mar,"2897,35","16694,46",,24-mar,"1096,41","6317,39",,24-mar,"4452,24","25933,25",23-oct,24-mar,"3984,32",23042,,24-mar,91903
25-mar,"916,74","5282,17",,25-mar,"1921,58","11071,8",,25-mar,"3426,84",19745,3-sept,25-mar,"3219,59",18551,,25-mar,37626
26-mar,"612,55","3529,55",,26-mar,"1158,52","6675,25",,26-mar,"5434,27","31311,85",5-nov,26-mar,"2903,4",16727,,26-mar,54973
27-mar,"1394,44","8034,74",,27-mar,"2039,67","11752,28",,27-mar,"6246,1","36199,5",2-ene,27-mar,"5381,38",31007,,27-mar,"19360,9"
28-mar,"2226,34",12828,,28-mar,"3537,98","20385,45",,28-mar,"10953,77","63114,7",21-oct,28-mar,"3036,32",17495,,28-mar,44406
29-mar,"1501,59","8652,14",,29-mar,"4806,43",27694,,29-mar,"4741,14","27317,95",22-oct,29-mar,"3103,64","17882,8",,29-mar,"23183,5"
30-mar,"3200,38","18440,3",,30-mar,"3779,23","21775,45",,30-mar,"4977,32","28818,9",9-abr,30-mar,"3428,57",19755,,30-mar,"30861,5"
31-mar,"17436,91","100470,15",,31-mar,"1632,99","9409,17",,31-mar,"3291,36","19174,55",26-jun,31-mar,"8388,91","48336,14",,31-mar,"21278,5"
1/4/2018,"17462,38","10154,7",,1-abr,"1235,3","7117,7",,1-abr,"4844,76","27985,1",9-may,1-abr,"5615,17",32354,,1-abr,21145
2/4/2018,"1058,39","6098,3",,2-abr,"1908,5","10996,65",,2-abr,"5640,51",32500,14-jul,2-abr,"4597,33","26489,5",,2-abr,"60331,5"
3/4/2018,"1965,94","11327,6",,3-abr,"1608,22","9266,45",,3-abr,"7668,93","44187,75",24-dic,3-abr,"4060,8",23398,,3-abr,9927
4/4/2018,"1899,09","10942,29",,4-abr,"1209,51","6968,9",,4-abr,"6862,93","39543,5",21-jun,4-abr,"3498,58","20158,5",,4-abr,"42614,5"
5/4/2018,"1378,61","7943,45",,5-abr,"1169,3","6737,44",,5-abr,"4123,69","23760,4",4-oct,5-abr,"2629,42","15150,5",,5-abr,44755
6/4/2018,"2071,63","11936,35",,6-abr,"1969,83","11349,81",,6-abr,"3855,26","22213,6",5-abr,6-abr,"1701,29",9857,,6-abr,26066
7/4/2018,"1914,91","11033,57",,7-abr,"1649,5",9504,,7-abr,"4034,85","23248,4",7-ago,7-abr,"5252,08",30262,,7-abr,24240
8/4/2018,"996,08","5739,25",,8-abr,"2158,62","12437,5",,8-abr,"6188,55","35657,65",5-sept,8-abr,"2975,63","17145,25",,8-abr,35839
9/4/2018,"877,22","5054,45",,9-abr,"1670,11","9622,89",,9-abr,"4743,7","27472,71",24-mar,9-abr,"5268,66","30357,5",,9-abr,49176
10/4/2018,"675,76","3893,6",,10-abr,"1730,15","9968,95",,10-abr,"6742,67","39130,51",1-sept,10-abr,"7127,29",41067,,10-abr,19150
11/4/2018,"5306,6","920,97",,11-abr,"672,86",3877,,11-abr,"6395,53","37200,5",2-may,11-abr,"3455,47",19910,,11-abr,46104
12/4/2018,"6067,67","1053,05",,12-abr,"1587,07","9144,5",,12-abr,"1990,97","11682,01",13-jul,12-abr,"3587,06","20668,5",,12-abr,"88610,6"
13/4/2018,"10520,22","1825,85",,13-abr,"2172,97","12520,51",,13-abr,"3216,53","18813,3",12-sept,13-abr,"3054,56",17600,,13-abr,"65617,5"
14/4/2018,"7403,54","1284,92",,14-abr,"1179,75","6797,5",,14-abr,"4841,96","28109,1",13-sept,14-abr,"4802,11",27669,,14-abr,91356
15/4/2018,"1438,81","8290,25",,15-abr,"823,11","4742,49",,15-abr,"2715,51","15786,45",13-oct,15-abr,"3026,86","17440,5",,15-abr,65447
16/4/2018,"535,46","3085,3",,16-abr,"935,44",5390,,16-abr,"2900,03","16989,51",28-jul,16-abr,"2393,9",13902,,16-abr,"103427,01"
17/4/2018,"1023,39","5896,82",,17-abr,"1528,49","8807,15",,17-abr,"3840,32","22267,5",13-jun,17-abr,"7119,71",41023,,17-abr,"90011,5"
18/4/2018,"1410,02","8124,35",,18-abr,"1892,88","10906,4",,18-abr,"5271,32","30372,75",20-sept,18-abr,"4227,54","24358,5",,18-abr,67624
19/4/2018,"1088,75","6273,3",,19-abr,"1805,4","10402,5",,19-abr,"2903,64","17010,5",14-ago,19-abr,"4159,74",23968,,19-abr,"50622,5"
20/4/2018,"2282,06","13148,95",,20-abr,"1236,12","7122,31",,20-abr,"2785,68","16050,8",25-abr,20-abr,"2633,7",15175,,20-abr,42847
21/4/2018,"2448,45","14107,74",,21-abr,"1857,54",10703,,21-abr,"2830,94","16311,5",26-nov,21-abr,"4490,04",25871,,21-abr,46223
22/4/2018,"1814,81","10456,78",,22-abr,"1134,09","6534,5",,22-abr,"1767,56","10184,52",15-ene,22-abr,"2424,16","15696,49",,22-abr,"54239,6"
23/4/2018,"1703,46","9815,18",,23-abr,"1111,72","6405,6",,23-abr,"1426,8","8361,03",25-dic,23-abr,"3673,25",21165,,23-abr,74458
24/4/2018,"1431,99","8250,82",,24-abr,"2313,76","13331,7",,24-abr,"2651,74","15419,01",14-dic,24-abr,"5468,85",31511,,24-abr,43858
25/4/2018,"2790,99","16081,05",,25-abr,"1660,39",9567,,25-abr,"2559,97","14750,4",16-may,25-abr,"3547,96",20443,,25-abr,108018
26/4/2018,"2065,45","11900,84",,26-abr,"1362,42","7850,2",,26-abr,"2059,34","11935,7",14-ene,26-abr,"3198,39",18429,,26-abr,67522
27/4/2018,"2876,79","16575,81",,27-abr,"1461,08","8418,53",,27-abr,"3188,78","18513,5",14-dic,27-abr,"3916,4",22566,,27-abr,52781
28/4/2018,"4236,27","24408,9",,28-abr,"1684,51","9705,9",,28-abr,"3559,29",20508,26-may,28-abr,"5738,59",33065,,28-abr,"37269,51"
29/4/2018,"2469,96","14231,5",,29-abr,"706,36",4070,,29-abr,"819,26","4720,51",5-sept,29-abr,"4372,51",25194,,29-abr,26415
30/4/2018,"3992,62","23004,96",,30-abr,"1968,28",11341,,30-abr,"3266,54","18821,5",1-ago,30-abr,"5724,86","32986,1",,30-abr,"28766,51"
1/5/2018,"2285,55","13169,09",,1-may,"1804,98",10400,,1-may,"2269,47","13426,51",18-jul,1-may,"10137,66","58412,2",,1-may,"46134,01"
2/5/2018,"1223,45","7049,45",,2-may,"1456,3",8391,,2-may,"2749,61",15843,5-nov,2-feb,"4186,11",24120,,2-may,88717
3/5/2018,"1613,76","9298,3",,3-may,"1653,65","9528,3",,3-may,"1622,94","9351,25",26-feb,3-may,"2762,62",15918,,3-may,79879
4/5/2018,"2411,07","13892,07",,4-may,"3163,88",18230,,4-may,"2270,78",13084,8-ago,4-may,"3088,37",17795,,4-may,65014
5/5/2018,"3094,5","17830,16",,5-may,"1777,71","10243,08",,5-may,"1606,88","9258,75",11-dic,5-may,"4089,62","23563,8",,5-may,27219
6/5/2018,"2136,05","12307,75",,6-may,"1113,78","6417,5",,6-may,"965,83",5705,21-dic,6-may,"4950,04","28521,5",,6-may,"36996,25"
7/5/2018,"1334,7","7690,55",,7-may,"1130,77","6515,5",,7-may,"833,92","4805,01",14-nov,7-may,"2106,78",12139,,7-may,78789
8/5/2018,"1255,67",7235,,8-may,"1790,53","10317,05",,8-may,"2169,24","12709,01",7-nov,8-may,"4506,51",25966,,8-may,16965
9/5/2018,"1584,8","9131,55",,9-may,"1674,58","9648,75",,9-may,"1593,39",9181,8-oct,9-may,"4628,19",26667,,9-may,21301
10/5/2018,"1537,28","8857,65",,10-may,"1806,08","10406,3",,10-may,"787,25",4536,5-abr,10-may,"3529,21",20335,,10-may,81748
11/5/2018,"1207,89","6959,82",,11-may,"1756,86","10122,89",,11-may,"3696,9","21508,1",5-oct,11-may,"2475,2",14262,,11-may,"38540,5"
12/5/2018,"1956,62","11273,8",,12-may,"1338,26",7711,,12-may,"987,34",5899,11-jun,12-may,"3758,33",21655,,12-may,20795
13/5/2018,"850,84","4902,4",,13-may,"826,66",4763,,13-may,"960,8",5536,10-jul,13-may,"3929,44",22641,,13-may,"142299,01"
14/5/2018,"1234,42","7112,35",,14-may,"1035,29","5965,3",,14-may,"2735,12","15759,5",28-ago,14-may,"5701,69","32852,5",,14-may,150376
15/5/2018,"820,05","4725,25",,15-may,"1783,59",10277,,15-may,"2578,69","14938,21",1-nov,15-may,"3796,8",21877,,15-may,"107453,01"
16/5/2018,"1111,82","6406,16",,16-may,"1437,31","8281,6",,16-may,"2418,46","14335,01",15-ago,16-may,"4966,21",28615,,16-may,"120829,5"
17/5/2018,"1026,36","5913,5",,17-may,"1567,86","9034,05",,17-may,"1528,16",9045,29-jul,17-may,"3485,24","20081,5",,,
18/5/2018,"1805,46","10403,02",,18-may,"2336,17","13460,75",,18-may,"2049,11","11956,78",14-feb,18-may,"3115,11",17949,,,
19/5/2018,"1846,42","10638,9",,19-may,"975,98","5623,5",,19-may,"2517,21",14504,24-oct,19-may,"5269,74","30363,8",,,
20/5/2018,"1692,96","9754,8",,20-may,"1485,36","8558,4",,20-may,"1357,87",7824,13-sept,20-may,"5183,08","29864,4",,,
21/5/2018,"1223,05",7047,,21-may,"1386,8","7990,5",,21-may,"2901,74","17169,5",22-ene,21-may,"9595,25",55287,,,
22/5/2018,"1426,92","8222,1",,22-may,"859,76",4954,,22-may,"3692,91","21278,35",22-feb,22-may,"11962,9",68929,,,
23/5/2018,"1573,83","9068,3",,23-may,"1357,92","7824,2",,23-may,"4341,78","25391,94",18-ago,23-may,"5514,78","31775,5",,,
24/5/2018,"1818,63",10479,,24-may,"1951,72","11245,5",,24-may,"2740,5","15940,68",20-feb,24-may,"3885,86",22390,,,
25/5/2018,"2528,09","14566,75",,25-may,"1991,83","11476,7",,25-may,"1533,05","8833,3",26-dic,25-may,"8225,06",47392,,,
26/5/2018,"2423,95","13966,34",,26-may,"1310,05","7548,4",,26-may,"2334,43",13451,7-jun,26-may,"5426,24","31265,5",,,
27/5/2018,"1413,57","8144,75",,27-may,"1019,48","5874,1",,27-may,"2073,3",11946,10-ene,27-may,"9198,67","53001,99",,,
28/5/2018,"988,67","5696,75",,28-may,"1319,84","7604,9",,28-may,"2176,95","12618,22",1-ago,28-may,"18662,14","107529,25",,,
29/5/2018,"1678,01","9668,65",,29-may,"1643,35",9469,,29-may,"3381,7",19485,1-feb,29-may,"12219,46","70407,5",,,
30/5/2018,"1637,51","9550,15",,30-may,"1158,61","6675,71",,30-may,"3026,81",17440,17-jun,30-may,"7144,34",41165,,,
31/5/2018,"6367,46","36688,71",,31-may,"2058,92","11863,21",,31-may,"1610,92",9282,31-dic,31-may,"6277,46",36170,,,
1/6/2018,"3653,64","21051,8",,1-jun,"2194,08","12642,2",,1-jun,"2399,52",13826,13-abr,1-jun,"5056,04","29132,5",,,
2/6/2018,"4383,73","25258,52",,2-jun,"2330,65","13429,02",,2-jun,"1850,07","10659,85",12-feb,2-jun,"6678,28","38479,51",,,
3/6/2018,"2121,38","12223,03",,3-jun,"1207,41","6957,1",,3-jun,"1868,29",10765,9-may,3-jun,"7796,72",44924,,,
4/6/2018,"1199,75",6913,,4-jun,"1571,81","9056,6",,4-jun,"200,45","1155,02",11-ago,4-jun,"8019,65","46208,5",,,
5/6/2018,"1814,77","10456,44",,5-jun,"1239,55",7142,,5-jun,"2152,05",12540,8-jun,5-jun,"15599,23",89881,,,
6/6/2018,"784,39","4519,6",,6-jun,"1677,74","9666,96",,6-jun,"3032,57","17473,5",14-jul,6-jun,"5960,58","34390,5",,,
7/6/2018,"2039,12","11749,25",,7-jun,"1915,15","11035,02",,7-jun,"1259,42","7466,77",28-dic,7-jun,"5055,96",29132,,,
8/6/2018,"2520,67","14523,69",,8-jun,"1681,98","9691,3",,8-jun,"1274,56",7344,12-ago,8-jun,"3887,58",22400,,,
9/6/2018,"2819,66","16246,51",,9-jun,"1215,66","7004,5",,9-jun,"960,63",5745,4-feb,9-jun,"6257,69","36056,26",,,
10/6/2018,"2039,12","11749,25",,10-jun,"702,68","4048,7",,10-jun,"1420,71",8396,4-feb,10-jun,"7774,18",44794,,,
11/6/2018,"1532,27","8828,8",,11-jun,"1522,85","8774,5",,11-jun,"1796,72","10422,5",12-ago,11-jun,"3330,15",19188,,,
12/6/2018,"1941,1","11184,55",,12-jun,"893,09",5146,,12-jun,"3415,21",19678,9-jul,12-jun,"8958,74","51619,5",,,
13/6/2018,"1145,8","6602,1",,13-jun,"1211,16","6978,5",,13-jun,"2593,68","14944,5",23-oct,13-jun,"11024,82","63524,01",,,
14/6/2018,"947,08",5457,,14-jun,"2274,66","13106,29",,14-jun,"694,21",4000,17-ene,14-jun,"2166,55","12483,5",,,
15/6/2018,"1528,04","8804,09",,15-jun,"2910,67","16770,86",,15-jun,"2040,23","11825,5",15-oct,15-jun,"2475,38",14263,,,
16/6/2018,"2223,62","12812,2",,16-jun,"951,18","5480,5",,16-jun,"1607,56","9472,5",12-jul,16-jun,"5219,34","30073,5",,,
