,,,,,,,,,,,,,,,,,
 Inventory List,,,,,,,,,,,,,,,,,
Item Description,Estimated value,Price Sold,What method of marketing was used?,How many days did it take to sell this item?,What was the condition of this item?,What was the method of payment?,Has the item been picked up?,What part of town was the item located?,Was delivery requested?,New or past client selling item?,New or past customer purchasing item?,What was the date the item was listed?,What was the date the item was sold?,Has the client been paid for the sale of their item?,What was the method of payment to client for payout?,What was the date of payout to the client?,Was this an online or in person sale?
Slant Secretary Desk,$500 ,$400 ,Facebook Marketplace,10 days,some wood damage to bottom of desk,cash,yes,Atlantic Beach,no,new,new,12/1/2023,12/10/2023,no,n/a,n/a,Online sale
Decorative Corner Shelf,$150 ,$100 ,Facebook Marketplace,15 days,broken piece on the top corner,cash,yes,Atlantic Beach,no,new,new,12/1/2023,12/15/2023,no,n/a,n/a,Online sale
Imperial Furniture Table,$250 ,$200 ,Facebook Marketplace,10 days,gently used,cash,yes,Atlantic Beach,no,new,new,12/1/2023,12/10/2023,no,n/a,n/a,Online sale
Painted Panel Artwork,$300 ,$200 ,Facebook Marketplace,5 days,gently used,credit card,yes,Atlantic Beach,no,new,new,12/1/2023,12/5/2023,no,n/a,n/a,Online sale
Antique Rocking Chair,$125 ,$100 ,Facebook Marketplace,10 days,gently used,cash,yes,Atlantic Beach,no,new,new,12/1/2023,12/10/2023,no,n/a,n/a,Online sale
Air Compressor,$150 ,$100 ,Facebook Marketplace,30 days,used,cash,yes,Intracoastal,no,past,new,11/1/2023,12/1/2023,yes,cash,12/2/2023,Online sale
Drop Leaf Table w/ Chairs,$750 ,$500 ,Facebook Marketplace,15 days,used,credit card,yes,Atlantic Beach,no,new,new,12/1/2023,12/15/2023,no,n/a,n/a,Online sale
MCM China Cabinet,$500 ,$350 ,Facebook Marketplace,20 days,used,cash,yes,Atlantic Beach,no,new,new,12/1/2023,12/20/2023,no,n/a,n/a,Online sale
2 Rain Barrels,$300 ,$250 ,Facebook Marketplace,15 days,used,cash,yes,Intracoastal,no,past,new,11/1/2023,11/15/2023,yes,cash,11/17/2023,Online sale
Antique Vanity,$150 ,$75 ,Facebook Marketplace,25 days,some swelling of the wood,cash,yes,Intracoastal,no,past,past,11/1/2023,11/25/2023,yes ,cash,11/27/2023,Online sale
Futon Couch,$150 ,$100 ,Facebook Marketplace,20 days,gently used,cash,yes,Intracoastal,no,past ,new,11/1/2023,11/20/2023,yes,cash,11/27/2023,Online sale
Coffee Table,$150 ,$100 ,Facebook Marketplace,10 days,gently used,cash,yes,Intracoastal,no,past,new,11/1/2023,11/10/2023,yes,cash,11/17/2023,Online sale
