Unique ID,Date,Visited store before?,Type of experience,Years experience,Number of tools owned >$250,Number of projects per year?,Will visit again?
jhf739dj,9/7/2023,TRUE,Remodeling,4,6,0-50,FALSE
udje7390,7/7/2023,FALSE,Construction,42,1,100+,FALSE
j718d3ed,9/5/2023,FALSE,Fine carpentry,32,10,100+,FALSE
8cjdyw28,7/27/2023,FALSE,Fine carpentry,10,4,0-50,TRUE
9fjvneuq,10/29/2023,TRUE,Painting/Finishing,23,3,0-50,FALSE
387e0pkj,10/24/2023,FALSE,Remodeling,48,5,50-100,FALSE
83749bch,11/8/2023,FALSE,Construction,1,2,0-50,FALSE
jd7263jd,10/11/2023,FALSE,Construction,14,6,0-50,FALSE
jeudisod,11/8/2023,TRUE,Construction,15,6,0-50,TRUE
938dyi3e,10/1/2023,FALSE,Construction,0,8,0-50,TRUE
euajchd8,10/19/2023,FALSE,Remodeling,42,1,50-100,TRUE
39dkjsbc,7/8/2023,FALSE,Fine carpentry,3,8,100+,TRUE
uehdjs82,10/3/2023,TRUE,Fine carpentry,2,7,50-100,TRUE
920kudie,11/29/2023,TRUE,Fine carpentry,15,3,100+,FALSE
ucbje837,10/14/2023,FALSE,Construction,30,5,100+,FALSE
