Item,Cost Per Item,Percent Markup,Total Sold,"Total 
Revenue",Shipping Charge/Item,Shipping Cost/Item,Profit per Item (incl. shipping),Returns,"Total 
Income"
Guitar Hero 3 Legends of Rock Nintendo Wii,$2.99,535.00%,1,$18.99,$5.65,$4.20,$17.45,0,$17.45
2020 Hess Toy Truck Ambulance,$1.00,3900.00%,1,$40.00,$8.22,$8.22,$39.00,0,$39.00
Hess 2020 Mini Collection,$1.00,2799.00%,1,$28.99,$7.87,$7.87,$27.99,0,$27.99
New Super Mario Bros. Wii,$2.99,569.00%,1,$20.00,$5.65,$4.20,$18.46,0,$18.46
Footjoy FJ GreenJoys Golf Shoes,$4.99,401.00%,1,$25.00,$9.85,$7.04,$22.82,0,$22.82
Spider-Woman #1 Rematch With Death Web,$0.99,399.00%,1,$4.94,$5.60,$4.15,$5.40,0,$5.40
Beavis and Butthead 1994 Issue #6,$0.99,899.00%,1,$9.89,$5.60,$4.15,$10.35,0,$10.35
Madden NFL 2003 Playstation Two ,$2.99,117.00%,1,$6.49,$5.50,$4.06,$4.94,1,$4.06
2004 Cali Girl Barbie,$1.99,453.00%,1,$11.00,$6.40,$4.88,$10.53,0,$10.53
FACTORY SEALED Xbox 360-Rock Band,$2.99,903.00%,1,$29.99,$5.65,$4.20,$28.45,0,$28.45
Vintage 1998 BUTTERFLY ART BARBIE,$1.99,252.00%,1,$7.00,$6.65,$6.78,$4.88,0,$4.88
Barbie Lacey Glam N Groom 1999 Doll,$1.99,252.00%,1,$7.00,$6.65,$6.78,$4.88,0,$4.88
Funko POP! Tommy Chuckie 2-Pack ,$9.99,60.00%,1,$15.98,$5.55,$4.09,$7.45,0,$7.45
Lot of Two (2) X-Men PS2 Games,$5.98,201.00%,1,$18.00,$6.45,$5.04,$13.43,0,$13.43
SHE-RA And The Princesses Of Power Battle Armor,$4.99,802.00%,1,$45.01,$9.85,$6.00,$43.87,0,$43.87
2K Sports The Bigs 2 Nintendo Wii ,$2.99,127.00%,1,$6.79,$5.65,$4.20,$5.25,0,$5.25
Williams Arcade's Greatest Hits SNES,$2.99,234.00%,1,$9.99,$5.60,$4.15,$8.45,0,$8.45
SPAWN Action Figure Lot Loose Todd McFarlane 1997,$3.99,301.00%,1,$16.00,$10.65,$7.96,$14.70,0,$14.70
Funko Pop! Five Nights at Freddy's - Funtime Freddy #225 See Details/Photos,$2.99,568.00%,1,$19.97,$6.40,$3.25,$20.13,0,$20.13
