CODE,DESCRIPTION,U.M,PRICE USD,U. MEASURE,UNITARY PRICE,AVAILABLE?,U.M,PRICE USD WHOLESALE,6 QUOTES usd,12 QUOTES usd,cash price mep ars,wholesale cash price ars,Wholesale shipping cost ars,retail shipping cost ars
11001,CINCALUM PHAPE Trapezoidal Esp. 0.50mm - 25 caliber (PAQ 50),KG,"6,930",ML.,"34,10",YES,PAQ,"22,166.62",4433.324,2586.11,18708627.28,7979983.2,37417.25456,49896
11003,CINCALUM PHAPE Trapezoidal Esp. 0.70mm - 22 caliber (PAQ 50),KG,"6,810",ML.,"46,32",YES,PAQ,"30,109.26",6021.852,3512.75,25412215.44,10839333.6,50824.43088,49032
14560,Detachable Amure Babeta 20cm - Caliber 28 - Galvanized,UN,"6,810",ML.,"48,06",YES,PAQ,"6,679.60",1335.92,779.29,5637582.4,2404656,11275.1648,49032
14566,Detachable Amure Babeta 25cm - Caliber 28 - Acanalada,UN,18.88,ML.,"61,89",YES,PAQ,"6,553.01",1310.602,764.518,5530740.44,2359083.6,11061.48088,135.936
14568,Detachable Amure Babeta 25cm - Galvanized 28 T101 caliber,UN,18.88,ML.,"29,56",YES,PAQ,"6,384.02",1276.804,744.802,5388112.88,2298247.2,10776.22576,135.936
14520,Detachable Riel Band 33cm -Calibre 28 (2.00m),UN,22.48,ML.,"33,78",YES,PAQ,"6,307.59",1261.518,735.886,5323605.96,2270732.4,10647.21192,161.856
14531,Removable easel 33cm - caliber 28 (2.00m),UN,22.88,ML.,"46,23",YES,PAQ,"6,331.82",1266.364,738.712,5344056.08,2279455.2,10688.11216,164.736
14561,Detachable Amure Babeta 20cm - Caliber 25 - Color,UN,30.16,ML.,"29,84",YES,PAQ,"6,547.65",1309.53,763.893,5526216.6,2357154,11052.4332,217.152
14567,Detachable Amure Babeta 25cm - 28 grooved caliber,UN,34.16,ML.,"34,10",YES,PAQ,"6,500.30",1300.06,758.368,5486253.2,2340108,10972.5064,245.952
14569,Detachable Amure Babeta 25cm - Trapezoidal caliber - Color,UN,34.16,ML.,"46,32",YES,PAQ,"6,391.99",1278.398,745.732,5394839.56,2301116.4,10789.67912,245.952
14521,Detachable Riel Band 33cm -Calibre 28 (2.44m),UN,43.04,ML.,"26,50",YES,PAQ,"6,391.99",1278.398,745.732,5394839.56,2301116.4,10789.67912,309.888
14535,Removable easel 33cm - Caliber 25 (2.44m),UN,43.04,ML.,"45,56",YES,PAQ,"6,240.38",1248.076,728.044,5266880.72,2246536.8,10533.76144,309.888
14562,Galvanized galvanized gap,UN,289.44,ML.,"32,67",YES,PAQ,"6,257.98",1251.596,730.098,5281735.12,2252872.8,10563.47024,2083.968
30368,Glass Press Cable 1/8 Galvanized,UN,130.06,ML.,"45,09",YES,PAQ,"6,179.31",1235.862,720.92,5215337.64,2224551.6,10430.67528,936.432
30369,GALVANIZED 3/16 Cable Press,UN,196.24,ML.,"29,56",YES,PAQ,"6,222.61",1244.522,725.971,5251882.84,2240139.6,10503.76568,1412.928
14564,Galvanized galvanized lid (x2 una),JGO,282.24,ML.,"33,78",YES,PAQ,"29,611.01",5922.202,3454.618,24991692.44,10659963.6,49983.38488,2032.128
14563,Zuncho for under galvanized pipe (x5 un),PAQ,623.4,ML.,"45,56",YES,PAQ,"21,237.59",4247.518,2477.719,17924525.96,7645532.4,35849.05192,4488.48
16220,"PLASTIC WASHE FOR EPS 2 ""D",UN,0.08,ML.,"32,67",YES,PAQ,"29,311.48",5862.296,3419.673,24738889.12,10552132.8,49477.77824,0.576
16202,Lisa Self -Admiral Aluminum Tape,ROL,"21,447.16",ML.,"45,09",YES,PAQ,"19,212.83",3842.566,2241.497,16215628.52,6916618.8,32431.25704,154419.552
16203,Reinforced Self -adhesive Aluminum Tape,ROL,"74,155.76",ML.,"29,56",YES,PAQ,"21,956.19",4391.238,2561.556,18531024.36,7904228.4,37062.04872,533921.472
16204,Self -adhesive polypropylene tape,ROL,"6,888.85",ML.,"33,78",YES,PAQ,"30,047.03",6009.406,3505.487,25359693.32,10816930.8,50719.38664,49599.72
16205,Double face tape (an36 x length 30m),ROL,"9,231.25",ML.,"46,23",YES,PAQ,"19,397.56",3879.512,2263.049,16371540.64,6983121.6,32743.08128,66465
16215,Membrane support mesh 12cm x 12cm 1000x2,ROL,"3,455.24",ML.,"29,84",YES,PAQ,"22,166.62",4433.324,2586.106,18708627.28,7979983.2,37417.25456,24877.728
16218,Membrane support mesh 12cm x 12cm 200x2,ROL,691.05,ML.,"34,10",YES,PAQ,"30,109.26",6021.852,3512.747,25412215.44,10839333.6,50824.43088,4975.56
16210,Membrane support mesh 12cm x 12cm 50x2,ROL,172.77,ML.,"46,32",YES,PAQ,"30,944.44",6188.888,3610.185,26117107.36,11139998.4,52234.21472,1243.944
25060,Sinusoidal plastic support,UN,35,ML.,"47,61",YES,PAQ,"21,036.02",4207.204,2454.202,17754400.88,7572967.2,35508.80176,252
25061,Trapezoidal plastic support,UN,56,ML.,"62,19",YES,PAQ,"29,611.01",5922.202,3454.618,24991692.44,10659963.6,49983.38488,403.2
14605,10 x 20 flat sealant band,ML,259,ML.,"48,06",YES,PAQ,"21,237.59",4247.518,2477.719,17924525.96,7645532.4,35849.05192,1864.8
14606,Flat sealant band 20 x 40,ML,472.5,ML.,"61,89",YES,PAQ,"29,311.48",5862.296,3419.673,24738889.12,10552132.8,49477.77824,3402
14607,Flat Sealant Band 40 X 40,ML,945,ML.,"29,56",YES,PAQ,"19,212.83",3842.566,2241.497,16215628.52,6916618.8,32431.25704,6804
14601,Sinusoidal sealant band,ML,367.5,ML.,"33,78",YES,PAQ,"21,956.19",4391.238,2561.556,18531024.36,7904228.4,37062.04872,2646
14603,Lower trapezoidal sealant band,ML,455,ML.,"46,23",YES,PAQ,"30,047.03",6009.406,3505.487,25359693.32,10816930.8,50719.38664,3276
11012,Chapa Cincalum Share,KG,"7,390",ML.,"26,50",YES,PAQ,"19,397.56",3879.512,2263.049,16371540.64,6983121.6,32743.08128,53208
28174,EPS 1x1 20mm plate (density 12),UN,"4,83",ML.,"26,50",YES,PAQ,"22,166.62",4433.324,2586.106,18708627.28,7979983.2,37417.25456,#VALUE!
28175,EPS 1x1 20mm plate (density 20),UN,"10,68",ML.,"6,92",YES,PAQ,"30,109.26",6021.852,3512.747,25412215.44,10839333.6,50824.43088,#VALUE!
28177,EPS 1x1 25mm plate (density 20),UN,"13,350",ML.,"8,22",YES,PAQ,"30,944.44",6188.888,3610.185,26117107.36,11139998.4,52234.21472,96120
28173,EPS 1x1 25mm plate (density 30),UN,"19,950",ML.,"29,56",YES,PAQ,"40,426.13",8085.226,4716.382,34119653.72,14553406.8,68239.30744,143640
28176,EPS 1x1 30mm plate (density 20),UN,"16,020",ML.,"33,78",YES,PAQ,"31,237.26",6247.452,3644.347,26364247.44,11245413.6,52728.49488,115344
,AISLAMAX AXE ALUMINUM 5MM 1M X 20M,ROL,"15,620.80",ML.,"46,23",YES,PAQ,"40,226.51",8045.302,4693.093,33951174.44,14481543.6,67902.34888,112469.76
16191,AISLAMAX AXE ALUMINUM 10MM 1M X 20M,ROL,"24,264.42",ML.,"29,84",YES,PAQ,"19,212.83",3842.566,2241.497,16215628.52,6916618.8,32431.25704,174703.824
16155,H5M 1m x 20m aluminum foam,ROL,"23,342.80",ML.,"34,10",YES,PAQ,"21,956.19",4391.238,2561.556,18531024.36,7904228.4,37062.04872,168068.16
16156,H10M 1m x 20m aluminum foam,ROL,"59,236.68",ML.,"28,25",YES,PAQ,"30,047.03",6009.406,3505.487,25359693.32,10816930.8,50719.38664,426504.096
16157,Double aluminum foam 10mm 1m x 20m,ROL,"59,236.68",ML.,"32,36",YES,PAQ,"19,397.56",3879.512,2263.049,16371540.64,6983121.6,32743.08128,426504.096
16062,F.T. 80mm aluminum 1.20m x 10m,ROL,"121,753.80",ML.,"45,56",YES,PAQ,"22,166.62",4433.324,2586.106,18708627.28,7979983.2,37417.25456,876627.36
16042,F.T. 80mm aluminum 1.20m x 12m,ROL,"104,379.00",ML.,"32,67",YES,PAQ,"30,109.26",6021.852,3512.747,25412215.44,10839333.6,50824.43088,751528.8
16043,F.T. 100mm aluminum 1.20m x 7m,ROL,"64,832.43",ML.,"42,30",YES,PAQ,"18,882.73",3776.546,2202.985,15937024.12,6797782.8,31874.04824,466793.496
16041,50mm aluminum felt 1.20x16,ROL,"102,902.70",ML.,"53,34",YES,PAQ,"20,998.47",4199.694,2449.822,17722708.68,7559449.2,35445.41736,740899.44
16091,Felt ar400 ACECUTIVE R 50mm 0.40,ROL,"89,054.70",ML.,"73,29",YES,PAQ,"18,765.49",3753.098,2189.307,15838073.56,6755576.4,31676.14712,641193.84
16003,Light felt 50mm 1.20x18,ROL,"60,394.91",ML.,"29,56",YES,PAQ,"21,447.82",4289.564,2502.246,18101960.08,7721215.2,36203.92016,434843.352
16005,Livian Felt 80mm 1.20m x 12,ROL,"65,795.95",ML.,"48,06",YES,PAQ,"19,874.34",3974.868,2318.673,16773942.96,7154762.4,33547.88592,473730.84
16033,Felt Rolec Silver 100mm 1.20x11,ROL,"89,615.30",ML.,"61,89",YES,PAQ,"18,654.29",3730.858,2176.334,15744220.76,6715544.4,31488.44152,645230.16
16020,Felt Rolec Silver 38mm 1.20x18,ROL,"75,687.44",ML.,"29,56",YES,PAQ,"20,112.95",4022.59,2346.511,16975329.8,7240662,33950.6596,544949.568
16032,Felt Rolec Silver 80mm 1.20x12,ROL,"81,125.62",ML.,"46,23",YES,PAQ,"21,789.36",4357.872,2542.092,18390219.84,7844169.6,36780.43968,584104.464
11012,Chapa Cincalum Share,KG,"7,390",ML.,"29,56",YES,PAQ,"18,998.14",3799.628,2216.45,16034430.16,6839330.4,32068.86032,53208
11011,Chapa Cincalum Share,KG,"6,870",ML.,"33,78",YES,PAQ,"21,334.18",4266.836,2488.988,18006047.92,7680304.8,36012.09584,49464
11013,Chapa Cincalum Share,KG,"6,750",ML.,"46,23",YES,PAQ,"30,047.03",6009.406,3505.487,25359693.32,10816930.8,50719.38664,48600
11002,CINCALUM PHAPE Trapezoidal Esp. 0.41mm - Caliber 27 (PAQ 50),KG,"7,460",ML.,"29,84",YES,PAQ,"19,397.56",3879.512,2263.049,16371540.64,6983121.6,32743.08128,53712
11001,CINCALUM PHAPE Trapezoidal Esp. 0.50mm - 25 caliber (PAQ 50),KG,"6,930",ML.,"34,10",YES,PAQ,"22,166.62",4433.324,2586.106,18708627.28,7979983.2,37417.25456,49896
11003,CINCALUM PHAPE Trapezoidal Esp. 0.70mm - 22 caliber (PAQ 50),KG,"6,810",ML.,"46,32",YES,PAQ,"30,109.26",6021.852,3512.747,25412215.44,10839333.6,50824.43088,49032
28037,Fiberglass Mesh,UN,697.7,ML.,"50,77",YES,PAQ,"21,237.59",4247.518,2477.719,17924525.96,7645532.4,35849.05192,5023.44
16182,Triton breathable membrane 1.05m x 20m,ROL,368.55,ML.,"28,82",YES,PAQ,"29,311.48",5862.296,3419.673,24738889.12,10552132.8,49477.77824,2653.56
16117,ACECTOR PANEL P without veil 50mm 1.20m x 0.96m,MT2,"9,844.36",ML.,"35,61",YES,PAQ,"19,212.83",3842.566,2241.497,16215628.52,6916618.8,32431.25704,70879.392
16127,ACCOLUTER PANEL P with black veil 50mm 1.20m x 0.96m,MT2,"16,977.94",ML.,"44,99",YES,PAQ,"21,956.19",4391.238,2561.556,18531024.36,7904228.4,37062.04872,122241.168
16128,ACCOLUTION PANEL P with Black Velo 70mm 1.20m x 0.96m,ROL,"21,045.12",ML.,"42,30",YES,PAQ,"30,047.03",6009.406,3505.487,25359693.32,10816930.8,50719.38664,151524.864
16116,ACCUSTIVER PANEL P S/V 35mm 1.20m x 0.96m,ROL,"122,016.30",ML.,"53,34",YES,PAQ,"19,397.56",3879.512,2263.049,16371540.64,6983121.6,32743.08128,878517.36
16118,ACCOINIVER PEL PAN WITHOUT VELL 70MM 1.20M X 0.96M,MT2,"13,694.11",ML.,"73,29",YES,PAQ,"22,166.62",4433.324,2586.106,18708627.28,7979983.2,37417.25456,98597.592
16123,ACECTRUTIVE PANEL P500 S/V 50mm 1.20m x 0.96m,MT2,"13,686.85",ML.,"29,56",YES,PAQ,"30,109.26",6021.852,3512.747,25412215.44,10839333.6,50824.43088,98545.32
16124,ACECTRUTIVE PANEL P500 S/V 70mm 1.20m x 0.96m,MT2,"19,034.34",ML.,"54,79",YES,PAQ,"30,944.44",6188.888,3610.185,26117107.36,11139998.4,52234.21472,137047.248
16180,Tyvek 1.0m x 30m,ROL,156,ML.,"43,87",YES,PAQ,"21,956.19",4391.238,2561.556,18531024.36,7904228.4,37062.04872,1123.2
16181,Tyvek 1.3m x 12m,ROL,81.12,ML.,"32,98",YES,PAQ,"30,047.03",6009.406,3505.487,25359693.32,10816930.8,50719.38664,584.064
16179,Tyvek 2.74m x 45.72m Homewrap,ROL,732.85,ML.,"54,98",YES,PAQ,"19,397.56",3879.512,2263.049,16371540.64,6983121.6,32743.08128,5276.52
12051,0.50mm prepintinated sheet - 25 width caliber 1220mm (PAQ 78),KG,"9,110",UN,"116,83",YES,PAQ,"19,212.83",3842.566,2241.497,16215628.52,6916618.8,32431.25704,65592
12071,0.70mm pre -entry sheet - 22 width caliber 1220mm,KG,"9,200",UN,"156,46",YES,PAQ,"9,387.67",1877.534,1095.228,7923193.48,3379561.2,15846.38696,66240
10151,CINCALUM 0.41MM - CALIBER 27,KG,"7,710",ME.,"30,83",YES,PAQ,75.22,15.044,8.776,63485.68,27079.2,126.97136,55512
10150,0.50mm CINCALUM - CALIBER 25,KG,"7,240",ME.,"35,60",YES,PAQ,86.84,17.368,10.131,73292.96,31262.4,146.58592,52128
10152,CINCALUM 0.70MM - CALIBER 22,KG,"7,200",ME.,"50,77",YES,PAQ,123.87,24.774,14.452,104546.28,44593.2,209.09256,51840
14002,LaF sheet,KG,"6,660",ME.,"28,82",YES,PAQ,57.58,11.516,6.718,48597.52,20728.8,97.19504,47952
14003,LAF SHEET 0.70mm - 22 caliber (PAQ 92),KG,"6,480",ME.,"35,61",YES,PAQ,71.23,14.246,8.31,60118.12,25642.8,120.23624,46656
14004,LAF SHEET 0.90MM - CALIBER 20 (PAQ 71),KG,"6,350",ME.,"44,99",YES,PAQ,89.92,17.984,10.491,75892.48,32371.2,151.78496,45720
14005,LAF SHEET ESP. 1.25MM - CALIBER 18 (PAQ 51),KG,"6,290",ME.,"61,87",YES,PAQ,123.68,24.736,14.429,104385.92,44524.8,208.77184,45288
14006,LAF SHEET ESP. 1.60MM - CALIBER 16 (PAQ 40),KG,"6,290",ME.,"79,18",YES,PAQ,158.3,31.66,18.468,133605.2,56988,267.2104,45288
11012,Chapa Cincalum Share,KG,"7,390",ML.,"29,56",YES,PAQ,"19,212.83",3842.566,2241.497,16215628.52,6916618.8,32431.25704,53208
14012,LaF sheet,KG,"6,480",ME.,"34,19",YES,PAQ,83.34,16.668,9.723,70338.96,30002.4,140.67792,46656
14018,LaF sheet. 0.65mm,KG,"6,190",ME.,"38,56",YES,PAQ,94.14,18.828,10.983,79454.16,33890.4,158.90832,44568
14013,LAF SHEET 0.70mm - 22 caliber (PAQ 62),KG,"6,290",ME.,"42,30",YES,PAQ,103.1,20.62,12.028,87016.4,37116,174.0328,45288
14014,LAF SHEET 0.90MM - CALIBER 20 (PAQ 48),KG,"6,170",ME.,"53,34",YES,PAQ,130.01,26.002,15.168,109728.44,46803.6,219.45688,44424
14015,LAF SHEET ESP. 1.25MM - CALIBER 18 (PAQ 35),KG,"6,110",ME.,"73,29",YES,PAQ,178.8,35.76,20.86,150907.2,64368,301.8144,43992
11012,Chapa Cincalum Share,KG,"7,390",ML.,"29,56",YES,PAQ,"19,212.83",3842.566,2241.497,16215628.52,6916618.8,32431.25704,53208
11011,Chapa Cincalum Share,KG,"6,870",ML.,"33,78",YES,PAQ,"21,956.19",4391.238,2561.556,18531024.36,7904228.4,37062.04872,49464
14023,LAF SHEET 0.90MM - CALIBER 20 - 1500 X 3000,KG,"6,080",ME.,"64,43",YES,PAQ,193.22,38.644,22.542,163077.68,69559.2,326.15536,43776
14019,LAF SHEET ESP. 1.25MM - CALIBER 18 - 1500 X 3000,KG,"6,020",ME.,"88,70",YES,PAQ,266.09,53.218,31.044,224579.96,95792.4,449.15992,43344
14022,LAF SHEET ESP. 1.60MM - caliber 16 - 1500 x 3000,KG,"6,020",ME.,"113,37",YES,PAQ,340.11,68.022,39.68,287052.84,122439.6,574.10568,43344
